,name,url,agency_type,street_address,longitude,latitude
144,Tamalpais Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9856&myzip=95814&distance=3500,Local Educational Agency (LEA),"375 Doherty Drive Larkspur, CA 94939",-122.526735,37.937702
145,Self-Help for the Elderly,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10729&myzip=95814&distance=3500,,"731 Sansome Street San Francisco, CA 94111",-122.40198,37.7968
146,Eden Area ROP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=130195024&myzip=95814&distance=3500,LEA,"26316 Hesperian Boulevard Hayward, CA 94545",-122.101074,37.63886
147,Cabot College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437855&myzip=95814&distance=3500,Community College,"25555 Hesperian Blvd Hayward, California 94545",-122.105615,37.641792
148,JVS / Jewish Vocational Service,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10464&myzip=95814&distance=3500,Community-based Organization,"225 Bush Street Suite 400 San Francisco, CA 94104",-122.401337,37.790937
149,City College of San Francisco,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10390&myzip=95814&distance=3500,Community College,"50 Phelan Avenue Attn: Academic Affairs, C308 San Francisco, CA 94133",-122.45225,37.72432
150,Chinatown Public Heatlth Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10659&myzip=95814&distance=3500,Community-based Organization,"1490 Mason Street San Francisco, CA 94133",-122.411758,37.797133
151,Chinatown One Stop Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10726&myzip=95814&distance=3500,,"601 Jackson Street San Francisco, CA 94133",-122.40545,37.79608
152,Catholic Charities CYO,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10382&myzip=95814&distance=3500,Community-based Organization,"180 Howard Street, Suite 100 San Francisco, CA 94105",-122.393393,37.791037
153,Portsmouth Square,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10769&myzip=95814&distance=3500,,"733 Kearny St, san francisco, CA 94108",-122.405111,37.794838
154,Chinatown YMCA,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10794&myzip=95814&distance=3500,,"855 Sacramento Street San Francisco, CA 94108",-122.406856,37.793026
155,Kelseyville Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9992&myzip=95814&distance=3500,Local Educational Agency (LEA),"4410 Konocti Road Kelseyville, CA 95451",-122.831204,38.97613
156,New Haven Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10155&myzip=95814&distance=3500,Local Educational Agency (LEA),"600 G Street Union CIty, CA 94587",-122.019697,37.599547
157,Sonora Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9759&myzip=95814&distance=3500,Local Educational Agency (LEA),"251A  S. Barretta Street Sonora, CA 95370",-120.38007,37.98293
158,Columbia College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437846&myzip=95814&distance=3500,Community College,"11600 Columbia College Drive Sonora, California 95370",-120.388454,38.030285
159,Ceres Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10273&myzip=95814&distance=3500,Local Educational Agency (LEA),"4231 Central Avenue Ceres, CA 95307",-120.958246,37.577211
160,Ceres Unified School District Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=435030044&myzip=95814&distance=3500,LEA,"2491 Lawrence Street Ceres, CA 95307",-120.94999,37.59022
161,Refugee Transitions,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10526&myzip=95814&distance=3500,Community-based Organization,"870 Market Street Suite 718 San Francisco, CA 94102",-122.407423,37.785111
162,The ECS Adult Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10465&myzip=95814&distance=3500,Community-based Organization,"165 8th Street San Francisco, CA 94103",-122.41229,37.77688
163,Glenn Adult Program - Career Training and Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10460&myzip=95814&distance=3500,Collaboration,"451 S. Villa Avenue Willows, CA 95988",-122.20782,39.51897
164,Willows and Orland Public Libraries,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999903&myzip=95814&distance=3500,Public Library,"201 N Lassen Street Willows, CA 95988",-122.200312,39.521978
165,Glenn Adult Program,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=160100370&myzip=95814&distance=3500,LEA,"451 South Villa Avenue Willows, CA 95988",-122.20782,39.51897
166,Waterford Adult Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=720133918&myzip=95814&distance=3500,LEA,"12916 Bentley Street Waterford, CA 95386",-120.757242,37.64226
167,Hughson Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9942&myzip=95814&distance=3500,Local Educational Agency (LEA),"7448 Fox Road Hughson, CA 95326",-120.858303,37.601046
168,Ohlone Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888411&myzip=95814&distance=3500,Community College,"43600 Mission Boulevard Freemont, CA 94539",-121.91628,37.527638
169,Fremont Adult and Continuing Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=760133108&myzip=95814&distance=3500,LEA,"4700 Calaveras Avenue Fremont, CA 94538",-121.990622,37.537767
170,Jackie Chan Senior Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10727&myzip=95814&distance=3500,,"5757 Geary Boulevard San Francisco, CA 94121",-122.481239,37.779943
171,Newark Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10144&myzip=95814&distance=3500,Local Educational Agency (LEA),"35777 Cedar Blvd Newark, CA 94560",-122.03868,37.55082
172,Patterson Adult Education - Del Puerto HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9957&myzip=95814&distance=3500,Local Educational Agency (LEA),"640 M Street Patterson, CA 95363",-121.1396,37.47625
173,Patterson Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=175030143&myzip=95814&distance=3500,LEA,"201 North Ninth Street Patterson, CA 95363",-121.135236,37.468417
174,JFCS Emigre / L'Chaim,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10457&myzip=95814&distance=3500,Community-based Organization,"2534 Judah Street San Francisco, CA 94122",-122.489378,37.761401
175,San Francisco Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888400&myzip=95814&distance=3500,Community College,"50 Phelan Avenue E200 San Francisco, CA 94112",-122.45225,37.72432
176,Work Training Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999905&myzip=95814&distance=3500,CBO,"2255 Fair Street Chico, CA 95928",-121.816963,39.718552
177,Lake Tahoe Unified School District/El Dorado CAAEP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9614&myzip=95814&distance=3500,Local Educational Agency (LEA),"1021 Al Tahoe Blvd. South Lake Tahoe, CA 96150",-119.97248,38.93444
178,Lake Tahoe Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888425&myzip=95814&distance=3500,Community College,"One College Drive South Lake Tahoe, CA 96150",-119.96,38.95
179,Paradise Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10077&myzip=95814&distance=3500,Local Educational Agency (LEA),"645 Pearson Road Paradise, CA 95969",-121.609248,39.75259
180,Milpitas Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10140&myzip=95814&distance=3500,Local Educational Agency (LEA),"1331 E. Calaveras Boulevard Bldg. 400 Milpitas, CA 95035",-121.883324,37.435959
181,Milpitas Unified School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10328&myzip=95814&distance=3500,Local Educational Agency (LEA),"1331 East Calaveras Boulevard, Building 100 Milpitas, CA 95035",-121.883324,37.435959
182,South San Francisco Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9852&myzip=95814&distance=3500,Local Educational Agency (LEA),"825 Southwood Drive South San Francisco, CA 94080",-122.435977,37.649931
183,Turlock Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9953&myzip=95814&distance=3500,Local Educational Agency (LEA),"1574 E. Canal Drive Turlock, CA 95380",-120.827256,37.49896
184,Turlock Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=395036868&myzip=95814&distance=3500,LEA,"1574 East Canal Drive Turlock, CA 95380",-120.827256,37.49896
185,Jefferson Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10181&myzip=95814&distance=3500,Local Educational Agency (LEA),"699 Serramonte Boulevard Suite 111 Daly City, CA 94015",-122.477486,37.668041
186,Jefferson Union High School District Adult Education Division,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=244133336&myzip=95814&distance=3500,LEA,"699 Serramonte Boulevard, Suite 111 Daly City, CA 94015",-122.477486,37.668041
187,San Mateo Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10126&myzip=95814&distance=3500,Local Educational Agency (LEA),"789 E Poplar Avenue San Mateo, CA 94401",-122.32884,37.57634
188,San Mateo Court and Community Schools Program,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10708&myzip=95814&distance=3500,,", CA 94065",-122.26,37.53
189,Skyline College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437816&myzip=95814&distance=3500,Community College,"3300 College Drive San Bruno, California 94066",-122.461647,37.63192
190,IIBA-RWC,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10376&myzip=95814&distance=3500,Community-based Organization,"2600 Middlefield Road Redwood City, CA 94063",-122.21318,37.477239
191,San Mateo County Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888396&myzip=95814&distance=3500,Community College,"3401 CSM Drive San Mateo, CA 94402",-122.336723,37.533112
192,College of San Mateo,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437809&myzip=95814&distance=3500,Community College,"1700 West Hillsdale Blvd. San Mateo, California 94402",-122.33402,37.5317
193,Greendell Campus,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10706&myzip=95814&distance=3500,,"4120 Middlefield Road Palo Alto, , CA 94303",-122.10561,37.41727
194,San Mateo County Reads and East Palo Alto Public Library,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999932&myzip=95814&distance=3500,Public Library,"2415 University Avenue, 2nd Floor East Palo Alto, CA 94303",-122.13956,37.47199
195,East Side  Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10217&myzip=95814&distance=3500,Local Educational Agency (LEA),"625 Educational Park Drive San Jose, CA 95133",-121.858905,37.365577
196,Independence Adult Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10294&myzip=95814&distance=3500,Local Educational Agency (LEA),"625 Educational Park Drive San Jose, CA 95133",-121.858905,37.365577
197,Alum Rock Educational Foundation,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10563&myzip=95814&distance=3500,Community-based Organization,"P.O. Box 56178 San Jose, CA 95156",-121.85111,37.350619
198,Palo Alto Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10161&myzip=95814&distance=3500,Local Educational Agency (LEA),"50 Embarcadero Road Palo Alto, CA 94301",-122.156387,37.437148
199,Cañada College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437806&myzip=95814&distance=3500,Community College,"4200 Farm Hill Blvd. Redwood City, California 94061",-122.260471,37.446806
200,Mountain View-Los Altos Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10149&myzip=95814&distance=3500,Local Educational Agency (LEA),"333 Moffett Boulevard Mountain View, CA 94043",-122.075042,37.398561
201,Tahoe-Truckee Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9980&myzip=95814&distance=3500,Local Educational Agency (LEA),"11661 Donner Pass Road Truckee, CA 96161",-120.2116,39.32467
202,Sequoia District Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10132&myzip=95814&distance=3500,Local Educational Agency (LEA),"3247 Middlefield Road Menlo Park, CA 94025",-122.203079,37.471727
203,"Immigrant Resettlement &amp; Cultural Center, Inc.",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10551&myzip=95814&distance=3500,Community-based Organization,"1445 Koll Circle Suite 110 San Jose, CA 95112",-121.906341,37.365138
204,Newman-Crows Landing Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9938&myzip=95814&distance=3500,Local Educational Agency (LEA),"890 Main Street Newman, CA 95360",-121.02424,37.32023
205,Orland Joint Unified School District/Glenn CAAEP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9643&myzip=95814&distance=3500,Collaboration,"1320 Sixth Street Orland, CA 95963",-122.197832,39.738029
206,Mission College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437852&myzip=95814&distance=3500,Community College,"3000 Mission College Blvd. Santa Clara, California 95054",-121.985652,37.390308
207,Delhi USD Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9981&myzip=95814&distance=3500,Local Educational Agency (LEA),"9716 Hinton Avenue Delhi, CA 95315",-120.77871,37.429895
208,Delhi Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=662430122&myzip=95814&distance=3500,LEA,"10082 Vincent Avenue Delhi, CA 95315",-120.77599,37.435629
209,Overfelt Adult Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10035&myzip=95814&distance=3500,Local Educational Agency (LEA),"1901 Cunningham Avenue San Jose, CA 95122",-121.82833,37.33071
210,Cabrillo Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9943&myzip=95814&distance=3500,Local Educational Agency (LEA),"498 Kelly Avenue Half Moon Bay, CA 94019",-122.435558,37.462404
211,La Costa Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=904130019&myzip=95814&distance=3500,LEA,"498 Kelly Avenue Half Moon Bay, CA 94019",-122.435558,37.462404
212,Santa Clara Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10128&myzip=95814&distance=3500,Local Educational Agency (LEA),"1840 Benton Street Santa Clara, CA 95050",-121.955947,37.34535
213,Santa Clara Unified School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9270&myzip=95814&distance=3500,Local Educational Agency (LEA),"1840 Benton Street Santa Clara, CA 95051",-121.95468,37.34719
214,San Jose-Evergreen Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888398&myzip=95814&distance=3500,Community College,"4750 San Felipe Road San Jose, CA 95135",-121.76946,37.300995
215,Evergreen Valley College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437850&myzip=95814&distance=3500,Community College,"3095 Yerba Buena Road San Jose, California 95135",-121.762848,37.297951
216,"FUHSD Adult School, Sunnyvale-Cupertino",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10229&myzip=95814&distance=3500,Local Educational Agency (LEA),"10123 North Wolfe Road Suite 2085 Cupertino, CA 94087",-122.013744,37.326947
217,Fremont Union High School District Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=684332433&myzip=95814&distance=3500,LEA,"591 West Fremont Avenue Sunnyvale, CA 94087",-122.035169,37.352585
218,Campbell Adult and Community Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11061&myzip=95814&distance=3500,Local Educational Agency (LEA),"3235 Union Avenue San Jose, CA 95128",-121.93153,37.26431
219,San Jose City College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437851&myzip=95814&distance=3500,Community College,"2100 Moorpark Avenue San Jose, California 95128",-121.927403,37.314618
220,Foothill-DeAnza Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888432&myzip=95814&distance=3500,Community College,"12345 El Monte Road Los Altos Hills, CA 94022",-122.122353,37.35973
221,Foothill College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888675&myzip=95814&distance=3500,Community College,"12345 El Monte Road Los Altos Hills, CA 94022",-122.122353,37.35973
222,De Anza College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888676&myzip=95814&distance=3500,Community College,"21250 Stevens Creek Boulevard Cupertino, CA 95014",-122.044628,37.31928
223,Foothill-DeAnza Community College District - De Anza College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888677&myzip=95814&distance=3500,Community College,"21250 Stevens Creek Boulevard 1250 Stevens Creek Blvd Cupertino, CA 95014",-122.044628,37.31928
224,MetroED - Silicon Valley Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10714&myzip=95814&distance=3500,,"760 Hillsdale Avenue Room 1 San Jose, CA 95136",-121.865447,37.278012
225,Silicon Valley Career Technical Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=944395018&myzip=95814&distance=3500,LEA,"760 Hillsdale Avenue San Jose, CA 95136",-121.865447,37.278012
226,SCCLD Services and Support Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10801&myzip=95814&distance=3500,,"1370 Dell Avenue Campbell, CA 95008",-121.953762,37.266135
227,California Community Opportunities,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10793&myzip=95814&distance=3500,,"3315 Almaden Expressway, Suite #20 San Jose, CA 95118",-121.879331,37.273769
228,work2future ,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999931&myzip=95814&distance=3500,Local Public Agency,"1601 Foxworthy Ave San Jose, CA 95118",-121.903419,37.27142
229,Plumas Rural Services/Mohawk Community Resource Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999910&myzip=95814&distance=3500,CBO,"8989 Highway 89 Blairsden, CA 96103",-120.621124,39.7734773
230,Metro Education District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=664337184&myzip=95814&distance=3500,LEA,"760 Hillsdale Avenue San Jose, CA 95123",-121.86471,37.27972
231,Hope Services,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999930&myzip=95814&distance=3500,CBO,"30 Las Colinas Lane San Jose, CA 95119",-121.776862,37.238202
232,West Valley-Mission Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888379&myzip=95814&distance=3500,Community College,"14000 Fruitvale Avenue Campbell, CA 95070",-122.01378,37.26531
233,Plumas Rural Services/Child Care Resource & Referral,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999907&myzip=95814&distance=3500,CBO,"711 East Main Street Quincy, CA 95971",-120.924744,39.935442
234,"Plumas Rural Services/Women, Infants & Children",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999908&myzip=95814&distance=3500,,"711 East Main Street Quincy, CA 95971",-120.924744,39.935442
235,Plumas Rural Services/Domestic Violence Services,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999909&myzip=95814&distance=3500,CBO,"711 East Main Street Quincy, CA 95971",-120.924744,39.935442
236,Plumas Rural Services/Family Empowerment Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999911&myzip=95814&distance=3500,CBO,"711 East Main Street Quincy, CA 95971",-120.924744,39.935442
237,Plumas Crisis Intervention & Resource Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999912&myzip=95814&distance=3500,CBO,"591 Main Street Quincy, CA 95971",-120.949882,39.937095
238,Plumas Early Education & Child Care Council,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999913&myzip=95814&distance=3500,Local Public Agency,"1446 East Main Street Quincy, CA 95971",-120.911484,39.934157
239,Alliance for Workforce Development,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999914&myzip=95814&distance=3500,Local Public Agency,"7 Quincy Junction Road Quincy, CA 95971",-120.938049,39.93832
240,Plumas County Public Health Agency,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999915&myzip=95814&distance=3500,Local Public Agency,"270 County Hospital Road Suite 206 Quincy, CA 95971",-120.964178,39.951948
241,Plumas Rural Services/Alive,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999916&myzip=95814&distance=3500,CBO,"586 Jackson Street Quincy, CA 95971",-120.949695,39.935581
242,Plumas Rural Services/Family Child Care Home Education Network,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999917&myzip=95814&distance=3500,CBO,"711 East Main Street Quincy, CA 95971",-120.924744,39.935442
