,name,url,agency_type,street_address,longitude,latitude
243,Feather River Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888433&myzip=95814&distance=3500,Community College,"570 Golden Eagle Avenue Quincy, CA 95971",-120.973041,39.951947
244,Corning USD Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10206&myzip=95814&distance=3500,Local Educational Agency (LEA),"250  E Fig Lane Corning, CA 96021",-122.165447,39.921539
245,Gustine Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9924&myzip=95814&distance=3500,Local Educational Agency (LEA),"685 Wallis Avenue, Room A-6 Gustine, CA 95322",-121.001059,37.251834
246,Ukiah Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=152334928&myzip=95814&distance=3500,,", 95482",-123.215087,39.161013
247,Mendocino-Lake Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888419&myzip=95814&distance=3500,Community College,"1000 Hensley Creek Road Ukiah, CA 95482",-123.227844,39.188149
248,Morgan Hill Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10148&myzip=95814&distance=3500,Local Educational Agency (LEA),"17960 Monterey Road Morgan Hill, CA 95037",-121.658519,37.136392
249,Community Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=834330072&myzip=95814&distance=3500,LEA,"17960 Monterey Road Morgan Hill, CA 95037",-121.658519,37.136392
250,Merced Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888418&myzip=95814&distance=3500,Community College,"3600 M Street Merced, CA 95348",-120.474425,37.335382
251,Merced Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9741&myzip=95814&distance=3500,Local Educational Agency (LEA),"50 E. 20th Street Merced, CA 95340",-120.473097,37.300081
252,Anderson Valley Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10237&myzip=95814&distance=3500,Local Educational Agency (LEA),"12300 Anderson Valley Way Boonville, CA 95415",-123.388185,39.029411
253,Gilroy Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9904&myzip=95814&distance=3500,Local Educational Agency (LEA),"7810 Arroyo Circle Gilroy, CA 95020",-121.5622,37.02201
254,Gilroy Citizenship/Educational Programs,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10532&myzip=95814&distance=3500,Community-based Organization,"379 Tomkins Ct. 2nd. Floor Gilroy, CA 95020",-121.57359,37.02926
255,Gavilan Joint Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888431&myzip=95814&distance=3500,Community College,"5055 Santa Teresa Boulevard Gilroy, CA 95020",-121.56185,36.96667
256,Los Banos Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9979&myzip=95814&distance=3500,Local Educational Agency (LEA),"127 Seventh Street Los Banos, CA 93635",-120.841846,37.066861
257,Cabrillo Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888444&myzip=95814&distance=3500,Community College,"6500 Soquel Drive Aptos, CA 95003",-121.924638,36.985281
258,Walnut Avenue Women's Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10459&myzip=95814&distance=3500,Community-based Organization,"303 Walnut Avenue Santa Cruz, CA 95060",-122.03092,36.972294
259,Watsonville/Aptos/Santa Cruz Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10164&myzip=95814&distance=3500,Local Educational Agency (LEA),"294 Green Valley Road Watsonville, CA 95076",-121.768762,36.939186
260,Watsonville/Aptos Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437802&myzip=95814&distance=3500,LEA,"294 Green Valley Road Watsonville, CA 95076",-121.768762,36.939186
261,Santa Cruz Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10129&myzip=95814&distance=3500,Local Educational Agency (LEA),"319 La Fonda Avenue Santa Cruz, CA 95062",-121.996238,36.987791
262,Volunteer Center of Santa Cruz County,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10394&myzip=95814&distance=3500,Community-based Organization,"1740 17th Street Santa Cruz, CA 95062",-121.98258,36.97697
263,Willits Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9949&myzip=95814&distance=3500,Local Educational Agency (LEA),"120 North Main Street Willits, CA 95490",-123.35484,39.41454
264,Richleiu Hall,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10446&myzip=95814&distance=3500,Local Educational Agency (LEA),"1135 Lincoln Red Bluff, CA 96080",-122.24572,40.17839
265,Red Bluff Joint Union High School District Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=390133140&myzip=95814&distance=3500,LEA,"1050 Kimball Road Red Bluff, CA 96080",-122.242046,40.15831
266,San Benito Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9975&myzip=95814&distance=3500,Local Educational Agency (LEA),"1220 Monterey Street Hollister, CA 95023",-121.404629,36.841223
267,Dos Palos Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=172430221&myzip=95814&distance=3500,LEA,"22368 South Sixth Street South Dos Palos, CA 93665",-120.653951,36.962206
268,Chowchilla Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10011&myzip=95814&distance=3500,Local Educational Agency (LEA),"805 Humboldt Avenue Chowchilla, CA 93610",-120.26337,37.11578
269,Eastern Sierra Unified School District / Mono CAAEP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10305&myzip=95814&distance=3500,Collaboration,"231 Kingsley Road Bridgeport, CA 93517",-119.47,38.35
270,North Monterey County Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9982&myzip=95814&distance=3500,Local Educational Agency (LEA),"17500 Pesante Road Salinas, CA 93907",-121.668804,36.775794
271,Fort Sage Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=360124537&myzip=95814&distance=3500,LEA,"200 DS Hall S. Herlong, CA 96113",-120.133327,40.144158
272,Salinas Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10615&myzip=95814&distance=3500,Local Educational Agency (LEA),"20 Sherwood Place Salinas, CA 93906",-121.644995,36.686268
273,Hebbron Heights Community Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10458&myzip=95814&distance=3500,Community-based Organization,"683 Fremont St. Salinas, CA 93905",-121.632492,36.678062
274,Firebaugh-Las Deltas Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=91030568&myzip=95814&distance=3500,LEA,"1976 Morris Kyle Drive Firebaugh, CA 93622",-120.444664,36.844344
275,Yosemite Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9940&myzip=95814&distance=3500,Local Educational Agency (LEA),"50200 Road 427 Oakhurst, CA 93644",-119.631235,37.327933
276,Yosemite Community Education Center/Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=142030062&myzip=95814&distance=3500,LEA,"50200 Road 427 Oakhurst, CA 93644",-119.631235,37.327933
277,Hartnell Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888428&myzip=95814&distance=3500,Community College,"411 Central Avenue Salinas, CA 93901",-121.666079,36.674898
278,Earl Warren Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10503&myzip=95814&distance=3500,State Agency,"711-045 Center Road Susanville, CA 96127",-120.65194,40.416391
279,Diploma Gold Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10679&myzip=95814&distance=3500,Local Educational Agency (LEA),"55 South Weatherlow Susanville, CA 96130",-120.657896,40.417013
280,Lassen Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888424&myzip=95814&distance=3500,Community College,"PO Box 3000 Susanville, CA 96130",-120.65,40.42
281,Madera Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10134&myzip=95814&distance=3500,Local Educational Agency (LEA),"2037 West Cleveland Avenue Madera, CA 93637",-120.080588,36.976919
282,Golden Valley Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=802030195&myzip=95814&distance=3500,LEA,"12150 Road 36 Madera, CA 93636",-119.899245,36.926569
283,Coastal Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9750&myzip=95814&distance=3500,Local Educational Agency (LEA),"250 So. Sanderson Way Fort Bragg, CA 95437",-123.79087,39.43965
284,Anderson Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10236&myzip=95814&distance=3500,Local Educational Agency (LEA),"5250 West Anderson Drive Room 2 Anderson, CA 96007",-122.304956,40.440132
285,Monterey Adult School - Juan Cabrillo School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10146&myzip=95814&distance=3500,Local Educational Agency (LEA),"1295 La Salle Avenue Seaside,   93955",-121.83988,36.61704
286,Monterey Adult School - Marina Vista,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10672&myzip=95814&distance=3500,Local Educational Agency (LEA),"1295 La Salle Avenue Seaside, CA 93955",-121.83988,36.61704
287,Naval Postgraduate School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10810&myzip=95814&distance=3500,,"1295 La Salle Avenue Seaside, CA 93955",-121.83988,36.61704
288,Dual Language Academy of the Monterey Peninsula,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=11047&myzip=95814&distance=3500,,"1295 La Salle Avenue Seaside, CA 93955",-121.83988,36.61704
289,Monterey Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=922732501&myzip=95814&distance=3500,LEA,"200 Coe Avenue Monterey, CA 93955",-121.83488,36.62952
290,Pacific Grove Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10160&myzip=95814&distance=3500,Local Educational Agency (LEA),"1025 Lighthouse Avenue Pacific Grove, CA 93950",-121.92817,36.62615
291,Monterey Peninsula Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888416&myzip=95814&distance=3500,Community College,"980 Fremont Street Monterey, CA 93940",-121.884845,36.589984
292,Mendota Unified Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9984&myzip=95814&distance=3500,Local Educational Agency (LEA),"211 Smoot Avenue Mendota, CA 93640",-120.388092,36.755187
293,Gonzales Evening High School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10172&myzip=95814&distance=3500,Local Educational Agency (LEA),"650 Elko Street Gonzales, CA 93926",-121.442902,36.511833
294,Shasta-Tehama-Trinity Joint Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888391&myzip=95814&distance=3500,Community College,"PO Box 496006 Redding, CA 96049",-123.306185,41.773136
295,Shasta College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437825&myzip=95814&distance=3500,Community College,"11555 Old Oregon Trail Redding, California 96049",-122.3084,40.62139
296,Shasta Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10133&myzip=95814&distance=3500,Local Educational Agency (LEA),"2200 Eureka Way Redding , CA 96001",-122.408219,40.588707
297,Corning Family Resource Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10467&myzip=95814&distance=3500,Community-based Organization,"from West Street School Corning, CA 96001",-122.3956822,40.5779086
298,Shasta Literacy Program,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999938&myzip=95814&distance=3500,Public Library,"1100 Parkview Avenue Redding, CA 96001",-122.38519,40.573865
299,Soledad Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10278&myzip=95814&distance=3500,Local Educational Agency (LEA),"690 Main Street Soledad, CA 93960",-121.323531,36.434097
300,Clovis Community College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437843&myzip=95814&distance=3500,Community College,"10309 N. Willow Avenue Fresno, California 93730",-119.734194,36.886137
301,Central Learning Adult School Site,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10692&myzip=95814&distance=3500,Local Educational Agency (LEA),"2698 N. Brawley Avenue Fresno, CA 93722",-119.861665,36.7778
302,Kings View Work Experience Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999923&myzip=95814&distance=3500,CBO,"7170 N. Financial Drive Suite 110 Fresno, CA 93720",-119.770883,36.840271
303,Fresno City College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437845&myzip=95814&distance=3500,Community College,"1101 E. University Avenue Fresno, California 93741",-119.7994,36.76688
304,State Center Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888384&myzip=95814&distance=3500,Community College,"1525 E. Weldon Avenue Fresno, CA 93704",-119.792766,36.769
305,Carmel Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10270&myzip=95814&distance=3500,Local Educational Agency (LEA),"8421 Carmel Valley Road Carmel, CA 93923",-121.828584,36.530566
306,Clovis Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10202&myzip=95814&distance=3500,Local Educational Agency (LEA),"1452 David E. Cook Way Clovis, CA 93611",-119.690292,36.834605
307,SER for Jobs ,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999947&myzip=95814&distance=3500,CBO,"255 North Fulton Suite 106 Fresno, CA 93701",-119.8007,36.746968
308,Washington Union High School Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10059&myzip=95814&distance=3500,Local Educational Agency (LEA),"6041 S. Elm Avenue Fresno, CA 93706",-119.793018,36.648175
309,Fresno Public Library,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999948&myzip=95814&distance=3500,Public Library,"2420 Mariposa Street Fresno, CA 93721",-119.785964,36.737717
310,Fresno Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=661032309&myzip=95814&distance=3500,LEA,"2500 Stanislaus Street Fresno, CA 93721",-119.789138,36.74205
311,Black Mountain Adult Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9764&myzip=95814&distance=3500,Local Educational Agency (LEA),"33461 Lodge Road Toll  House, CA 93667",-119.4555,37.04012
312,Mountain Valley Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10080&myzip=95814&distance=3500,Local Educational Agency (LEA),"231 Oak Street Hayfork, CA 96041",-123.19,40.55
313,MonoCOE Adult Education Program,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10559&myzip=95814&distance=3500,Collaboration,"Box 130 400 Sierra Park Road Mammoth Lakes, CA 93546",-118.9641605,37.6418577
314,Sanger Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10066&myzip=95814&distance=3500,Local Educational Agency (LEA),"1045 Bethel Sanger, CA 93657",-119.576247,36.701116
315,Valley ROP,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=531095017&myzip=95814&distance=3500,LEA,"1305 Q Street Sanger, CA 93657",-119.560445,36.69853
316,Trinity Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10094&myzip=95814&distance=3500,Local Educational Agency (LEA),"321 Victory Lane Weaverville, CA 96093",-122.94782,40.739618
317,Caruthers Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10359&myzip=95814&distance=3500,Local Educational Agency (LEA),"2580 West Tahoe Caruthers, CA 93609",-119.83818,36.53862
318,"College of the Redwoods, Garberville",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10800&myzip=95814&distance=3500,,"286 Sprowl Creek Rd. Garberville, CA 95542",-123.797523,40.098289
319,Parlier Adult School/San Joaquin Valley HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9930&myzip=95814&distance=3500,Local Educational Agency (LEA),"900 South Newmark Avenue Parlier, CA 93648",-119.528262,36.618681
320,Selma Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10131&myzip=95814&distance=3500,Local Educational Agency (LEA),"3125 Wright Street Selma, CA 93662",-119.615895,36.581073
321,Bridgeville Elementary School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10410&myzip=95814&distance=3500,Community-based Organization,"38717 Kneeland Road Bridgeville, CA 95526",-123.796533,40.472625
322,Southern Trinity Joint Unified School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437856&myzip=95814&distance=3500,Local Educational Agency (LEA),"680 Van Duzen Road Mad River, California 95526",-123.528107,40.456139
323,Kings Canyon USD Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10186&myzip=95814&distance=3500,Local Educational Agency (LEA),"740 W. North Ave. REEDLEY, CA 93654",-119.455811,36.601146
324,Reedley College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437847&myzip=95814&distance=3500,Community College,"995 N. Reed Avenue Reedley, California 93654",-119.458189,36.604518
325,Kingsburg Adult Education - Oasis Continuation,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10000&myzip=95814&distance=3500,Local Educational Agency (LEA),"2311 Sierra Street Kingsburg, CA 93631",-119.545999,36.518178
326,West Hills Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888669&myzip=95814&distance=3500,Community College,"9900 Cody St. Coalinga, CA 93210",-120.2543,36.24234
327,West Hills College Coalinga,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437849&myzip=95814&distance=3500,Community College,"300 Cherry Lane Coalinga, California 93210",-120.356482,36.147908
328,Lemoore Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=820133512&myzip=95814&distance=3500,LEA,"351 East Bush Street Lemoore, CA 93245",-119.776323,36.297848
329,West Hills College Lemoore,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437848&myzip=95814&distance=3500,Community College,"555 College Avenue Lemoore, California 93245",-119.822379,36.292439
330,Dinuba Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9973&myzip=95814&distance=3500,Local Educational Agency (LEA),"8470 Ave 406 Dinuba, CA 93618",-119.384143,36.528119
331,Family Education Center,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=600111450&myzip=95814&distance=3500,LEA,"40802 Road 128 Cutler, CA 93615",-119.286385,36.530658
332,Hanford Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10176&myzip=95814&distance=3500,Local Educational Agency (LEA),"905 North Campus Drive Hanford, CA 93230",-119.66318,36.33375
333,Cutler-Orosi Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10208&myzip=95814&distance=3500,Local Educational Agency (LEA),"12623 Avenue 416 Orosi, CA 93647",-119.290932,36.544528
334,Dunsmuir Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=504730172&myzip=95814&distance=3500,LEA,"5805 High School Way Dunsmuir, CA 96025",-122.276581,41.21072
335,Reef-Sunset USD Avenal Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10108&myzip=95814&distance=3500,Local Educational Agency (LEA),"205 N. Park Avenal, CA 93204",-120.125338,36.008327
336,Golden Hills Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10502&myzip=95814&distance=3500,State Agency,"#1 Kings Way Avenal, CA 93204",-122.477684,37.721436
337,"Proteus, Inc.",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10418&myzip=95814&distance=3500,Community-based Organization,"1440 N. Shirk Rd. Visalia, CA 93291",-119.367006,36.342752
338,Tulare County Training Center (ABLE Industries),https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=99999937&myzip=95814&distance=3500,CBO,"8929 W. Goshen Avenue Visalia, CA 93291",-119.38929,36.3419
339,Siskiyou Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9987&myzip=95814&distance=3500,Local Educational Agency (LEA),"720 Rockfellow Drive Mt. Shasta, CA 96067",-122.30496,41.31972
340,Sequoias Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888392&myzip=95814&distance=3500,Community College,"915 S. Mooney Boulevard Visalia, CA 93277",-119.314117,36.322491
341,Fortuna Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=101230119&myzip=95814&distance=3500,LEA,"379 12th Street Fortuna, CA 95540",-124.152054,40.593665
342,Visalia Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9864&myzip=95814&distance=3500,Local Educational Agency (LEA),"3110 East Houston Avenue Visalia, CA 93292",-119.25896,36.34207
343,Woodlake Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9912&myzip=95814&distance=3500,Local Educational Agency (LEA),"450 West Sequoia Woodlake, CA 93286",-119.09449,36.42234
344,Farmersville USD  Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10072&myzip=95814&distance=3500,Local Educational Agency (LEA),"281 S. Farmersville Boulevard Farmersville, CA 93223",-119.20732,36.29763
345,Corcoran Adult Ed./Kings Lake Education Ctr.,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9796&myzip=95814&distance=3500,Local Educational Agency (LEA),"1128 S.  Dairy Avenue 1520 Patterson Ave. Corcoran, CA 93212",-119.56686,36.102018
346,Tulare Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9859&myzip=95814&distance=3500,Local Educational Agency (LEA),"575 W. Maple Avenue Tulare, CA 93274",-119.35638,36.21436
347,Tulare Joint Union High School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10663&myzip=95814&distance=3500,Local Educational Agency (LEA),"426 North Blackstone Tulare, CA 93274",-119.330737,36.214163
348,Exeter Adult Education - Kawea HS,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9925&myzip=95814&distance=3500,Local Educational Agency (LEA),"1107 Rocky Hill Drive Exeter, CA 93221",-119.13121,36.29697
349,Siskiyou Joint Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888389&myzip=95814&distance=3500,Community College,"800 College Avenue Weed, CA 96094",-122.391881,41.409483
350,College of the Siskiyous,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437839&myzip=95814&distance=3500,Community College,"800 College Avenue Weed, California 96094",-122.391881,41.409483
351,Eureka Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10219&myzip=95814&distance=3500,Local Educational Agency (LEA),"2100 J Street Eureka, CA 95503",-124.159,40.7878
352,"College of the Redwoods, Eureka Campus",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10795&myzip=95814&distance=3500,,"7351 Tompkins Hill Road Eureka, CA 95501",-124.15711,40.791
353,"College of the Redwoods, Downtown Eureka",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10796&myzip=95814&distance=3500,,"333 Sixth Street, Suite B Eureka, CA 95501",-124.16753,40.8009
354,Redwoods Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888405&myzip=95814&distance=3500,Community College,"7331 Tompkins Hill Road Eureka, CA 95501",-124.17,40.8
355,College of the Redwoods Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888661&myzip=95814&distance=3500,Community College,"7351 Tompkins Hill Road Eureka, CA 95501",-124.15711,40.791
356,Modoc Community Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10062&myzip=95814&distance=3500,Local Educational Agency (LEA),"802 N East Street Alturas, CA 96101",-120.53993,41.49098
357,Alturas,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10440&myzip=95814&distance=3500,COE,"Modoc County Office of Education 139 Henderson Street Alturas, CA 96101",-120.514677,41.438417
358,Northern Humboldt Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10013&myzip=95814&distance=3500,Local Educational Agency (LEA),"2755 McKinleyville Avenue McKinleyville, CA 95519",-124.11031,40.95504
359,Cambria Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10274&myzip=95814&distance=3500,Local Educational Agency (LEA),"2820 Santa Rosa Creek Road Cambria, CA 93428",-121.072714,35.568895
360,Lindsay Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10192&myzip=95814&distance=3500,Local Educational Agency (LEA),"519 E. Honolulu Street Lindsay, CA 93247",-119.085047,36.203689
361,Etna UHSD - Scott River Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9961&myzip=95814&distance=3500,Local Educational Agency (LEA),"450 Campus Way Etna, CA 96027",-122.9,41.46
362,Scott Valley Adult,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=550100008&myzip=95814&distance=3500,LEA,"450 Campus Way Etna, CA 96027",-122.9,41.46
363,"College of the Redwoods, Klamath Trinity",https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10799&myzip=95814&distance=3500,,"65 Orchard St Hoopa, CA 95546",-123.65189,41.22591
364,Templeton Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9751&myzip=95814&distance=3500,Local Educational Agency (LEA),"964 Old County Road Templeton, CA 93465",-120.711425,35.544459
365,Porterville Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10104&myzip=95814&distance=3500,Local Educational Agency (LEA),"1414 W. Olive Ave Porterville, CA 93257",-119.048853,36.066672
366,Porterville College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=994437811&myzip=95814&distance=3500,Community College,"100 E. College Avenue Porterville, California 93257",-119.01255,36.049572
367,Butte Valley Adult Education,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9988&myzip=95814&distance=3500,Local Educational Agency (LEA),"13001-B Old State Hwy Macdoel, CA 96058",-122.0066,41.81774
368,Yreka Union High Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9758&myzip=95814&distance=3500,Local Educational Agency (LEA),"431 Knapp Street Yreka, CA 96097",-122.63629,41.73848
369,Delano Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10209&myzip=95814&distance=3500,Local Educational Agency (LEA),"1811 Princeton Street Delano, CA 93215",-119.23768,35.77069
370,Cuesta College,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=10408&myzip=95814&distance=3500,Community College,"1504 Colusa Dr San Luis Obispo, CA 93405",-120.742674,35.323543
371,Tulelake Joint Unified School District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9860&myzip=95814&distance=3500,Local Educational Agency (LEA),"400 G Street Tulelake, CA 96134",-121.479345,41.951004
372,San Luis Obispo County Community College District,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=888888397&myzip=95814&distance=3500,Community College,"PO Box 8106 San Luis Obispo County, CA 93403",-120.6983506,35.7456417
373,Lone Pine Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9797&myzip=95814&distance=3500,Local Educational Agency (LEA),"536 South Main Street Lone Pine, CA 93545",-118.0580061,36.5839492
374,San Luis Coastal Adult School,https://www.otan.us/caaeproviders/index.cfm?fuseaction=detail&id=9967&myzip=95814&distance=3500,Local Educational Agency (LEA),"1500 Lizzie Street - H2 San Luis Obispo, CA 93401",-120.64963,35.27953
