geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06071,632557,316848,58217,57428,789,118,671,258631,243282,15349,9632,5717,315709,54783,54100,683,77,606,260926,245182,15744,9926,5818,"San Bernardino County, California",06,071
0500000US06085,622266,318448,51029,47797,3232,638,2594,267419,221922,45497,26578,18919,303818,48836,45346,3490,582,2908,254982,210244,44738,28145,16593,"Santa Clara County, California",06,085
0500000US06041,186382,89802,15869,15432,437,25,412,73933,66273,7660,4578,3082,96580,15655,15247,408,145,263,80925,72118,8807,5928,2879,"Marin County, California",06,041
0500000US06061,276754,135049,28106,27818,288,121,167,106943,100929,6014,4457,1557,141705,26738,26587,151,63,88,114967,108270,6697,5138,1559,"Placer County, California",06,061
0500000US06093,33587,16641,2862,2862,0,0,0,13779,13499,280,179,101,16946,2754,2745,9,9,0,14192,13910,282,190,92,"Siskiyou County, California",06,093
0500000US06089,143919,70324,14028,13893,135,1,134,56296,54842,1454,711,743,73595,13374,13266,108,37,71,60221,58274,1947,887,1060,"Shasta County, California",06,089
0500000US06095,169436,84889,13786,13698,88,56,32,71103,67987,3116,2302,814,84547,13126,13063,63,33,30,71421,67483,3938,2786,1152,"Solano County, California",06,095
0500000US06015,17233,8658,1518,1518,0,0,0,7140,6904,236,167,69,8575,1463,1463,0,0,0,7112,6881,231,175,56,"Del Norte County, California",06,015
0500000US06011,7800,3924,767,767,0,0,0,3157,3099,58,22,36,3876,552,552,0,0,0,3324,3172,152,144,8,"Colusa County, California",06,011
0500000US06021,14663,7256,1462,1462,0,0,0,5794,5641,153,78,75,7407,1400,1380,20,0,20,6007,5900,107,54,53,"Glenn County, California",06,021
