total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,name,state,county
354,202,0500000US06041,12285,6230,2918,2855,63,48,15,3312,2896,416,227,189,6055,2610,2588,22,22,0,3445,2889,556,"Marin County, California",06,041
281,174,0500000US06061,18371,9005,4519,4377,142,38,104,4486,4015,471,247,224,9366,4397,4330,67,17,50,4969,4514,455,"Placer County, California",06,061
28,13,0500000US06093,2742,1263,485,485,0,0,0,778,744,34,0,34,1479,587,587,0,0,0,892,851,41,"Siskiyou County, California",06,093
53,17,0500000US06089,7796,3808,1773,1772,1,0,1,2035,1959,76,76,0,3988,1512,1512,0,0,0,2476,2406,70,"Shasta County, California",06,089
623,149,0500000US06095,32006,15943,6981,6917,64,26,38,8962,8194,768,564,204,16063,6856,6804,52,44,8,9207,8435,772,"Solano County, California",06,095
0,5,0500000US06015,2012,1084,542,533,9,0,9,542,533,9,5,4,928,397,392,5,0,5,531,526,5,"Del Norte County, California",06,015
0,10,0500000US06011,557,226,109,109,0,0,0,117,110,7,7,0,331,196,196,0,0,0,135,125,10,"Colusa County, California",06,011
0,0,0500000US06021,599,337,187,187,0,0,0,150,138,12,0,12,262,46,46,0,0,0,216,216,0,"Glenn County, California",06,021
122,135,0500000US06007,13737,7150,2971,2927,44,0,44,4179,3911,268,111,157,6587,2809,2789,20,0,20,3778,3521,257,"Butte County, California",06,007
95,45,0500000US06031,6307,3487,1439,1439,0,0,0,2048,1891,157,80,77,2820,1448,1448,0,0,0,1372,1232,140,"Kings County, California",06,031
0,0,0500000US06063,814,412,135,135,0,0,0,277,272,5,0,5,402,65,65,0,0,0,337,337,0,"Plumas County, California",06,063
161,30,0500000US06079,9741,5410,1806,1806,0,0,0,3604,3304,300,208,92,4331,1559,1559,0,0,0,2772,2581,191,"San Luis Obispo County, California",06,079
861,928,0500000US06019,38523,19144,8489,8407,82,49,33,10655,8850,1805,859,946,19379,8705,8587,118,22,96,10674,8885,1789,"Fresno County, California",06,019
546,472,0500000US06029,29445,15723,6498,6369,129,23,106,9225,7869,1356,581,775,13722,6021,5832,189,73,116,7701,6683,1018,"Kern County, California",06,029
5367,2809,0500000US06059,123199,62107,28877,27831,1046,288,758,33230,26123,7107,4524,2583,61092,26775,26351,424,71,353,34317,26141,8176,"Orange County, California",06,059
1092,573,0500000US06111,36933,18276,8265,8229,36,20,16,10011,8741,1270,724,546,18657,8264,8207,57,43,14,10393,8728,1665,"Ventura County, California",06,111
15,62,0500000US06009,1736,843,362,362,0,0,0,481,476,5,0,5,893,200,200,0,0,0,693,616,77,"Calaveras County, California",06,009
114,288,0500000US06101,6209,3237,1519,1429,90,0,90,1718,1370,348,193,155,2972,1313,1313,0,0,0,1659,1257,402,"Sutter County, California",06,101
1572,886,0500000US06081,40700,19935,9519,9304,215,52,163,10416,7927,2489,1616,873,20765,9927,9700,227,99,128,10838,8380,2458,"San Mateo County, California",06,081
18,0,0500000US06109,2412,1236,333,333,0,0,0,903,888,15,14,1,1176,411,411,0,0,0,765,747,18,"Tuolumne County, California",06,109
2453,3257,0500000US06077,70482,34526,15288,14760,528,21,507,19238,13658,5580,1948,3632,35956,15951,15599,352,43,309,20005,14295,5710,"San Joaquin County, California",06,077
8,15,0500000US06005,1730,913,368,368,0,0,0,545,520,25,3,22,817,350,350,0,0,0,467,444,23,"Amador County, California",06,005
