total_foreign_born_not_a_u.s._citizen_africa,total_foreign_born_not_a_u.s._citizen_oceania,total_foreign_born_not_a_u.s._citizen_latin_america,total_foreign_born_not_a_u.s._citizen_northern_america,geography,total,total_native,total_native_born_in_state_of_residence,total_native_born_in_other_state_in_the_united_states,total_native_born_in_other_state_in_the_united_states_northeast,total_native_born_in_other_state_in_the_united_states_midwest,total_native_born_in_other_state_in_the_united_states_south,total_native_born_in_other_state_in_the_united_states_west,total_native_born_outside_the_united_states,total_native_born_outside_the_united_states_puerto_rico,total_native_born_outside_the_united_states_u.s._island_areas,total_native_born_outside_the_united_states_born_abroad_of_american_parent(s),total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_naturalized_u.s._citizen_europe,total_foreign_born_naturalized_u.s._citizen_asia,total_foreign_born_naturalized_u.s._citizen_africa,total_foreign_born_naturalized_u.s._citizen_oceania,total_foreign_born_naturalized_u.s._citizen_latin_america,total_foreign_born_naturalized_u.s._citizen_northern_america,total_foreign_born_not_a_u.s._citizen,total_foreign_born_not_a_u.s._citizen_europe,total_foreign_born_not_a_u.s._citizen_asia,name,state,county
24,2,6312,71,0500000US06045,87497,76008,57535,17573,3753,5543,3565,4712,900,61,29,810,11489,4227,603,909,63,93,2471,88,7262,437,416,"Mendocino County, California",06,045
171,264,23765,774,0500000US06087,273263,223948,167582,52395,14935,16306,10378,10776,3971,185,75,3711,49315,18528,3401,4546,388,82,9611,500,30787,2608,3205,"Santa Cruz County, California",06,087
1,0,345,9,0500000US06105,13037,12371,8760,3443,511,987,871,1074,168,0,68,100,666,245,58,118,0,0,47,22,421,66,0,"Trinity County, California",06,105
19166,7777,1206700,14774,0500000US06037,10105722,6626843,5153866,1357625,360926,387286,397974,211439,115352,10033,7265,98054,3478879,1767074,108018,826359,37179,6033,774498,14937,1711805,62300,401088,"Los Angeles County, California",06,037
3487,1118,215864,8127,0500000US06065,2355002,1842485,1401301,412012,81107,137767,106167,86971,29172,3300,2047,23825,512517,241479,16111,71872,6090,1188,141886,4332,271038,7910,34532,"Riverside County, California",06,065
3227,702,180315,2129,0500000US06071,2121220,1677310,1352045,299941,50741,89343,93343,66514,25324,2910,2122,20292,443910,215539,8453,69824,6729,547,127401,2585,228371,4816,37182,"San Bernardino County, California",06,071
4059,1770,115605,5999,0500000US06085,1911226,1173132,863994,279832,71597,85175,65202,57858,29306,2068,1818,25420,738094,393664,33014,289104,7822,1971,57416,4337,344430,25078,191903,"Santa Clara County, California",06,085
315,536,14870,840,0500000US06041,260814,213796,130041,79637,28431,23716,15351,12139,4118,139,77,3902,47018,21905,7036,7501,928,329,5202,909,25113,4919,3633,"Marin County, California",06,041
218,192,7075,430,0500000US06061,374985,334462,240526,88957,16374,28581,18294,25708,4979,347,383,4249,40523,25425,6127,13014,655,292,4361,976,15098,2334,4839,"Placer County, California",06,061
9,8,894,31,0500000US06093,43530,41244,27467,13415,1315,3068,2219,6813,362,22,30,310,2286,1123,225,336,39,48,375,100,1163,157,64,"Siskiyou County, California",06,093
205,177,1371,213,0500000US06089,178919,169480,125534,42828,4974,11866,10069,15919,1118,68,52,998,9439,4585,1037,1779,58,37,1374,300,4854,1169,1719,"Shasta County, California",06,089
635,748,22576,402,0500000US06095,434981,347612,248112,89986,15392,24594,31448,18552,9514,586,1660,7268,87369,51275,3454,32189,952,668,13566,446,36094,1389,10344,"Solano County, California",06,095
0,3,573,11,0500000US06015,27442,25713,18406,7016,856,1717,1300,3143,291,0,0,291,1729,819,112,387,19,72,203,26,910,81,242,"Del Norte County, California",06,015
0,10,3147,20,0500000US06011,21479,15949,13761,2019,154,590,684,591,169,25,13,131,5530,2271,83,198,32,11,1947,0,3259,26,56,"Colusa County, California",06,011
0,0,3496,37,0500000US06021,27935,22356,19155,3033,534,939,663,897,168,0,22,146,5579,1757,74,304,4,6,1342,27,3822,27,262,"Glenn County, California",06,021
114,85,4763,528,0500000US06007,225207,208032,159358,46720,6436,13927,11076,15281,1954,124,158,1672,17175,8939,1468,3918,109,66,3059,319,8236,631,2115,"Butte County, California",06,007
181,118,16270,118,0500000US06031,150183,122424,97979,22456,2596,4494,9708,5658,1989,130,162,1697,27759,9382,793,2644,136,4,5697,108,18377,436,1254,"Kings County, California",06,031
1,0,159,25,0500000US06063,18724,18081,12929,4967,717,1644,940,1666,185,0,0,185,643,309,57,53,0,15,170,14,334,114,35,"Plumas County, California",06,063
207,168,11827,610,0500000US06079,280119,251010,185094,62055,12255,21575,12786,15439,3861,246,173,3442,29109,13450,2354,3692,407,68,6238,691,15659,1128,1719,"San Luis Obispo County, California",06,079
437,388,100852,961,0500000US06019,971616,767250,650129,108954,13149,27388,41021,27396,8167,860,398,6909,204366,79302,3565,36419,1110,316,37019,873,125064,2219,20207,"Fresno County, California",06,019
595,314,101485,751,0500000US06029,878744,703457,579203,115262,14719,29901,43971,26671,8992,1093,511,7388,175287,59153,1899,18065,893,253,37357,686,116134,1275,11714,"Kern County, California",06,029
6108,2257,283656,5746,0500000US06059,3155816,2201107,1640147,522640,133964,180676,109590,98410,38320,2381,2575,33364,954709,504160,33889,316637,11148,2130,131914,8442,450549,18193,134589,"Orange County, California",06,059
616,514,79400,1478,0500000US06111,847834,657052,491402,156609,41153,52525,34884,28047,9041,767,386,7888,190782,90509,8505,31225,1345,393,47161,1880,100273,4281,13949,"Ventura County, California",06,111
0,0,625,38,0500000US06009,45057,42489,32579,9485,1825,2716,2733,2211,425,40,11,374,2568,1180,315,255,9,67,454,80,1388,502,223,"Calaveras County, California",06,009
15,104,6856,42,0500000US06101,95583,73924,57435,14911,2043,4120,4832,3916,1578,36,156,1386,21659,10576,370,6562,84,36,3446,78,11083,404,3662,"Sutter County, California",06,101
1084,2776,52620,2226,0500000US06081,763450,498544,365805,119237,34603,35575,26837,22222,13502,638,879,11985,264906,150935,17219,92650,1968,4409,32979,1710,113971,10325,44940,"San Mateo County, California",06,081
55,29,346,32,0500000US06109,53899,51379,38839,12081,1925,4093,2915,3148,459,2,22,435,2520,1626,583,275,26,1,610,131,894,221,211,"Tuolumne County, California",06,109
853,716,61934,586,0500000US06077,724153,555776,464452,82608,9614,23669,27278,22047,8716,470,894,7352,168377,79696,4069,44416,1256,1550,27915,490,88681,2202,22390,"San Joaquin County, California",06,077
13,59,495,72,0500000US06005,37306,35055,25953,8896,1579,2902,2014,2401,206,28,0,178,2251,1308,494,294,14,38,404,64,943,114,190,"Amador County, California",06,005
