geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06095,3818,1929,305,279,26,0,26,1624,1166,458,233,225,1889,472,365,107,63,44,1417,949,468,189,279,"Solano County, California",06,095
0500000US06015,21,21,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Del Norte County, California",06,015
0500000US06011,16,10,0,0,0,0,0,10,0,10,0,10,6,0,0,0,0,0,6,0,6,6,0,"Colusa County, California",06,011
0500000US06021,113,11,0,0,0,0,0,11,11,0,0,0,102,29,29,0,0,0,73,67,6,6,0,"Glenn County, California",06,021
0500000US06007,424,273,69,69,0,0,0,204,151,53,45,8,151,20,20,0,0,0,131,131,0,0,0,"Butte County, California",06,007
0500000US06031,367,203,54,53,1,1,0,149,118,31,6,25,164,74,59,15,0,15,90,47,43,12,31,"Kings County, California",06,031
0500000US06063,55,23,23,23,0,0,0,0,0,0,0,0,32,23,23,0,0,0,9,9,0,0,0,"Plumas County, California",06,063
0500000US06079,280,218,95,95,0,0,0,123,115,8,0,8,62,0,0,0,0,0,62,31,31,0,31,"San Luis Obispo County, California",06,079
0500000US06019,1947,1041,293,277,16,0,16,748,536,212,82,130,906,241,205,36,18,18,665,433,232,97,135,"Fresno County, California",06,019
0500000US06029,1620,835,312,249,63,58,5,523,376,147,63,84,785,268,267,1,0,1,517,418,99,89,10,"Kern County, California",06,029
0500000US06059,9620,4716,954,922,32,17,15,3762,3155,607,267,340,4904,947,825,122,0,122,3957,3172,785,439,346,"Orange County, California",06,059
0500000US06111,1658,886,139,139,0,0,0,747,632,115,46,69,772,217,184,33,0,33,555,418,137,61,76,"Ventura County, California",06,111
0500000US06009,208,34,0,0,0,0,0,34,17,17,17,0,174,98,98,0,0,0,76,57,19,19,0,"Calaveras County, California",06,009
0500000US06101,539,230,39,39,0,0,0,191,164,27,2,25,309,64,40,24,0,24,245,181,64,11,53,"Sutter County, California",06,101
0500000US06081,10797,5346,1593,1471,122,26,96,3753,1751,2002,1229,773,5451,1218,1124,94,32,62,4233,2054,2179,1284,895,"San Mateo County, California",06,081
0500000US06109,155,90,5,5,0,0,0,85,60,25,1,24,65,5,5,0,0,0,60,52,8,0,8,"Tuolumne County, California",06,109
0500000US06077,4233,2162,610,581,29,0,29,1552,758,794,563,231,2071,617,605,12,0,12,1454,993,461,351,110,"San Joaquin County, California",06,077
0500000US06005,84,74,22,22,0,0,0,52,35,17,0,17,10,0,0,0,0,0,10,10,0,0,0,"Amador County, California",06,005
