geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06037,10105722,4979641,1162318,1098168,64150,12303,51847,3817323,2219909,1597414,788349,809065,5126081,1111262,1051734,59528,13433,46095,4014819,2257032,1757787,952989,804798,"Los Angeles County, California",06,037
0500000US06065,2355002,1171711,312867,302301,10566,2041,8525,858844,620731,238113,112524,125589,1183291,300854,290134,10720,2166,8554,882437,629319,253118,124748,128370,"Riverside County, California",06,065
0500000US06071,2121220,1055170,293032,284195,8837,1528,7309,762138,555788,206350,99620,106730,1066050,280691,273224,7467,1118,6349,785359,564103,221256,113273,107983,"San Bernardino County, California",06,071
0500000US06085,1911226,963317,222798,202861,19937,4472,15465,740519,397313,343206,180309,162897,947909,212218,193239,18979,4205,14774,735691,379719,355972,204678,151294,"Santa Clara County, California",06,085
0500000US06041,260814,127423,26968,25640,1328,136,1192,100455,79228,21227,9341,11886,133391,26145,24746,1399,440,959,107246,84182,23064,11988,11076,"Marin County, California",06,041
0500000US06061,374985,183021,43512,42392,1120,557,563,139509,121322,18187,11076,7111,191964,41767,40756,1011,392,619,150197,129992,20205,13400,6805,"Placer County, California",06,061
0500000US06093,43530,21706,4500,4410,90,12,78,17206,16096,1110,443,667,21824,4315,4201,114,75,39,17509,16537,972,593,379,"Siskiyou County, California",06,093
0500000US06089,178919,87753,19846,19593,253,65,188,67907,63513,4394,2010,2384,91166,18921,18686,235,84,151,72245,67688,4557,2426,2131,"Shasta County, California",06,089
0500000US06095,434981,216074,50422,48329,2093,668,1425,165652,127288,38364,21946,16418,218907,48476,46861,1615,650,965,170431,125134,45297,28011,17286,"Solano County, California",06,095
0500000US06015,27442,15008,3052,2983,69,1,68,11956,11120,836,356,480,12434,2775,2745,30,0,30,9659,8865,794,462,332,"Del Norte County, California",06,015
0500000US06011,21479,11157,3141,3093,48,0,48,8016,5222,2794,999,1795,10322,2823,2748,75,15,60,7499,4886,2613,1257,1356,"Colusa County, California",06,011
0500000US06021,27935,14213,3973,3954,19,16,3,10240,7348,2892,905,1987,13722,3535,3390,145,0,145,10187,7664,2523,836,1687,"Glenn County, California",06,021
0500000US06007,225207,111587,23350,22930,420,109,311,88237,80154,8083,4060,4023,113620,22104,21713,391,114,277,91516,83235,8281,4656,3625,"Butte County, California",06,007
0500000US06031,150183,82982,20929,20131,798,68,730,62053,47640,14413,4376,10037,67201,20234,19532,702,64,638,46967,35121,11846,4874,6972,"Kings County, California",06,031
0500000US06063,18724,9432,1654,1654,0,0,0,7778,7407,371,190,181,9292,1412,1412,0,0,0,7880,7608,272,119,153,"Plumas County, California",06,063
0500000US06079,280119,142182,25896,25118,778,91,687,116286,102433,13853,6311,7542,137937,24870,24184,686,107,579,113067,99275,13792,6941,6851,"San Luis Obispo County, California",06,079
0500000US06019,971616,484667,142381,136764,5617,1179,4438,342286,244780,97506,36391,61115,486949,136834,131427,5407,1197,4210,350115,254279,95836,40535,55301,"Fresno County, California",06,019
0500000US06029,878744,450393,130962,126299,4663,909,3754,319431,233000,86431,28534,57897,428351,126690,122675,4015,661,3354,301661,221483,80178,29049,51129,"Kern County, California",06,029
0500000US06059,3155816,1558245,366318,345006,21312,4789,16523,1191927,754485,437442,228822,208620,1597571,350449,329761,20688,4683,16005,1247122,771855,475267,265866,209401,"Orange County, California",06,059
0500000US06111,847834,419536,102781,98769,4012,731,3281,316755,227756,88999,40118,48881,428298,99560,95881,3679,670,3009,328738,234646,94092,48990,45102,"Ventura County, California",06,111
0500000US06009,45057,22292,4014,3948,66,7,59,18278,17303,975,425,550,22765,3931,3920,11,11,0,18834,17318,1516,737,779,"Calaveras County, California",06,009
0500000US06101,95583,47613,12988,12372,616,139,477,34625,24223,10402,5053,5349,47970,12132,11576,556,226,330,35838,25753,10085,5158,4927,"Sutter County, California",06,101
0500000US06081,763450,376145,83031,77235,5796,1646,4150,293114,173218,119896,66375,53521,387305,79203,74385,4818,1301,3517,308102,173706,134396,81613,52783,"San Mateo County, California",06,081
0500000US06109,53899,28029,4611,4599,12,0,12,23418,22099,1319,732,587,25870,4436,4429,7,0,7,21434,20252,1182,894,288,"Tuolumne County, California",06,109
0500000US06077,724153,360247,102553,97492,5061,1159,3902,257694,179079,78615,36500,42115,363906,97811,93762,4049,905,3144,266095,185443,80652,41132,39520,"San Joaquin County, California",06,077
0500000US06005,37306,20005,2931,2872,59,25,34,17074,15795,1279,659,620,17301,2800,2759,41,30,11,14501,13629,872,594,278,"Amador County, California",06,005
