geography,total_living_in_area_1_year_ago,total_living_in_area_1_year_ago_native,total_living_in_area_1_year_ago_foreign_born,total_living_in_area_1_year_ago_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_same_house,total_living_in_area_1_year_ago_same_house_native,total_living_in_area_1_year_ago_same_house_foreign_born,total_living_in_area_1_year_ago_same_house_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_same_house_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county,total_living_in_area_1_year_ago_moved_within_same_county_native,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_within_same_county_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_native,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_county_within_same_state_foreign_born_not_a_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state,total_living_in_area_1_year_ago_moved_to_different_state_native,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_naturalized_u.s._citizen,total_living_in_area_1_year_ago_moved_to_different_state_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06037,10017210,6573937,3443273,1770515,1672758,8849567,5732285,3117282,1641222,1476060,851215,592070,259145,102286,156859,180991,141207,39784,17093,22691,135437,108375,27062,9914,17148,"Los Angeles County, California",06,037
0500000US06065,2296717,1797926,498791,238599,260192,1997914,1548013,449901,218296,231605,201620,165980,35640,14299,21341,62574,52880,9694,4437,5257,34609,31053,3556,1567,1989,"Riverside County, California",06,065
0500000US06071,2068728,1637479,431249,213447,217802,1789272,1403056,386216,196102,190114,183328,151973,31355,11388,19967,60202,50152,10050,4418,5632,35926,32298,3628,1539,2089,"San Bernardino County, California",06,071
0500000US06085,1867704,1159960,707744,393025,314719,1613420,995576,617844,360408,257436,159741,96662,63079,22421,40658,63719,45099,18620,7477,11143,30824,22623,8201,2719,5482,"Santa Clara County, California",06,085
0500000US06041,254401,208377,46024,21824,24200,222927,182377,40550,19881,20669,15019,12149,2870,1024,1846,12406,10222,2184,755,1429,4049,3629,420,164,256,"Marin County, California",06,041
0500000US06061,369477,330147,39330,24947,14383,320423,285278,35145,22880,12265,25890,23392,2498,1318,1180,16085,14734,1351,576,775,7079,6743,336,173,163,"Placer County, California",06,061
0500000US06093,43745,41473,2272,1087,1185,36682,34730,1952,912,1040,4214,4006,208,147,61,1480,1427,53,28,25,1369,1310,59,0,59,"Siskiyou County, California",06,093
0500000US06089,176840,168396,8444,4546,3898,150155,142823,7332,4141,3191,16604,15803,801,260,541,6523,6339,184,101,83,3558,3431,127,44,83,"Shasta County, California",06,089
0500000US06095,423258,338768,84490,49862,34628,363892,288950,74942,45257,29685,36254,29828,6426,3091,3335,15555,13213,2342,1043,1299,7557,6777,780,471,309,"Solano County, California",06,095
0500000US06015,27167,25380,1787,856,931,22178,20694,1484,713,771,2279,2163,116,79,37,1775,1671,104,49,55,935,852,83,15,68,"Del Norte County, California",06,015
