geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_same_house_1_year_ago,total_same_house_1_year_ago_native,total_same_house_1_year_ago_foreign_born,total_same_house_1_year_ago_foreign_born_naturalized_u.s._citizen,total_same_house_1_year_ago_foreign_born_not_a_u.s._citizen,total_moved_within_same_county,total_moved_within_same_county_native,total_moved_within_same_county_foreign_born,total_moved_within_same_county_foreign_born_naturalized_u.s._citizen,total_moved_within_same_county_foreign_born_not_a_u.s._citizen,total_moved_from_different_county_within_same_state,total_moved_from_different_county_within_same_state_native,total_moved_from_different_county_within_same_state_foreign_born,total_moved_from_different_county_within_same_state_foreign_born_naturalized_u.s._citizen,total_moved_from_different_county_within_same_state_foreign_born_not_a_u.s._citizen,total_moved_from_different_state,total_moved_from_different_state_native,total_moved_from_different_state_foreign_born,total_moved_from_different_state_foreign_born_naturalized_u.s._citizen,total_moved_from_different_state_foreign_born_not_a_u.s._citizen,total_moved_from_abroad,total_moved_from_abroad_native,total_moved_from_abroad_foreign_born,total_moved_from_abroad_foreign_born_naturalized_u.s._citizen,total_moved_from_abroad_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06065,2326559,1814353,512206,241399,270807,1997914,1548013,449901,218296,231605,201620,165980,35640,14299,21341,88487,72717,15770,6876,8894,26283,23378,2905,1387,1518,12255,4265,7990,541,7449,"Riverside County, California",06,065
0500000US06071,2093573,1649914,443659,215462,228197,1789272,1403056,386216,196102,190114,183328,151973,31355,11388,19967,84057,67968,16089,5919,10170,26281,22861,3420,1514,1906,10635,4056,6579,539,6040,"San Bernardino County, California",06,071
0500000US06085,1888980,1151258,737722,393635,344087,1613420,995576,617844,360408,257436,159741,96662,63079,22421,40658,45287,32298,12989,4925,8064,34402,21560,12842,3561,9281,36130,5162,30968,2320,28648,"Santa Clara County, California",06,085
0500000US06041,258452,211447,47005,21895,25110,222927,182377,40550,19881,20669,15019,12149,2870,1024,1846,14168,12343,1825,727,1098,3959,3591,368,250,118,2379,987,1392,13,1379,"Marin County, California",06,041
0500000US06061,371370,330891,40479,25393,15086,320423,285278,35145,22880,12265,25890,23392,2498,1318,1180,18198,16472,1726,986,740,5376,5065,311,146,165,1483,684,799,63,736,"Placer County, California",06,061
0500000US06093,43104,40818,2286,1123,1163,36682,34730,1952,912,1040,4214,4006,208,147,61,1388,1322,66,44,22,777,723,54,20,34,43,37,6,0,6,"Siskiyou County, California",06,093
0500000US06089,177099,167660,9439,4585,4854,150155,142823,7332,4141,3191,16604,15803,801,260,541,6461,5970,491,134,357,3139,2819,320,50,270,740,245,495,0,495,"Shasta County, California",06,089
0500000US06095,430673,343332,87341,51255,36086,363892,288950,74942,45257,29685,36254,29828,6426,3091,3335,21134,17192,3942,2304,1638,6664,6043,621,403,218,2729,1319,1410,200,1210,"Solano County, California",06,095
0500000US06015,27033,25312,1721,819,902,22178,20694,1484,713,771,2279,2163,116,79,37,2034,1933,101,27,74,534,519,15,0,15,8,3,5,0,5,"Del Norte County, California",06,015
0500000US06011,21229,15699,5530,2271,3259,18353,13442,4911,2102,2809,2194,1681,513,169,344,478,441,37,0,37,165,116,49,0,49,39,19,20,0,20,"Colusa County, California",06,011
0500000US06021,27571,21992,5579,1757,3822,25138,19882,5256,1652,3604,1317,1134,183,85,98,911,860,51,20,31,113,102,11,0,11,92,14,78,0,78,"Glenn County, California",06,021
0500000US06007,223187,206012,17175,8939,8236,180332,166128,14204,7836,6368,27810,26107,1703,746,957,11611,10581,1030,344,686,2932,2849,83,13,70,502,347,155,0,155,"Butte County, California",06,007
0500000US06031,148385,120631,27754,9382,18372,118421,95676,22745,8149,14596,16072,13324,2748,705,2043,10105,8638,1467,395,1072,2826,2637,189,100,89,961,356,605,33,572,"Kings County, California",06,031
0500000US06063,18637,17994,643,309,334,15829,15221,608,299,309,1686,1662,24,0,24,677,672,5,5,0,347,342,5,5,0,98,97,1,0,1,"Plumas County, California",06,063
0500000US06079,277755,248646,29109,13450,15659,226833,202304,24529,11686,12843,29429,26852,2577,1137,1440,15280,14092,1188,435,753,4778,4560,218,149,69,1435,838,597,43,554,"San Luis Obispo County, California",06,079
0500000US06019,957870,753679,204191,79242,124949,808660,632269,176391,71395,104996,115715,96949,18766,5618,13148,22363,18270,4093,1556,2537,6234,5123,1111,462,649,4898,1068,3830,211,3619,"Fresno County, California",06,019
0500000US06029,866521,691328,175193,59152,116041,728051,574206,153845,53827,100018,95480,82719,12761,3510,9251,29470,24649,4821,1314,3507,9533,8372,1161,379,782,3987,1382,2605,122,2483,"Kern County, California",06,029
0500000US06059,3120911,2166522,954389,504102,450287,2709673,1877539,832134,457131,375003,273160,195761,77399,32872,44527,76610,59995,16615,8719,7896,34692,27850,6842,3588,3254,26776,5377,21399,1792,19607,"Orange County, California",06,059
0500000US06111,837948,647338,190610,90488,100122,738664,568631,170033,82824,87209,62860,50839,12021,4940,7081,21149,17399,3750,1732,2018,10571,8996,1575,757,818,4704,1473,3231,235,2996,"Ventura County, California",06,111
0500000US06009,44764,42196,2568,1180,1388,40805,38488,2317,1124,1193,1780,1625,155,7,148,1805,1738,67,39,28,336,314,22,10,12,38,31,7,0,7,"Calaveras County, California",06,009
0500000US06101,94296,72656,21640,10576,11064,81008,61968,19040,9881,9159,7394,5878,1516,482,1034,4168,3851,317,91,226,836,769,67,0,67,890,190,700,122,578,"Sutter County, California",06,101
0500000US06081,755325,490513,264812,150885,113927,664126,437171,226955,138252,88703,42576,25412,17164,6714,10450,29472,19884,9588,4185,5403,9868,6791,3077,1041,2036,9283,1255,8028,693,7335,"San Mateo County, California",06,081
0500000US06109,53666,51146,2520,1626,894,44214,41976,2238,1490,748,4968,4910,58,7,51,3846,3629,217,129,88,566,566,0,0,0,72,65,7,0,7,"Tuolumne County, California",06,109
0500000US06077,714614,546297,168317,79691,88626,605571,461789,143782,71380,72402,70228,55248,14980,5526,9454,28241,22556,5685,2176,3509,7037,5887,1150,399,751,3537,817,2720,210,2510,"San Joaquin County, California",06,077
0500000US06005,36983,34732,2251,1308,943,31408,29614,1794,1082,712,2389,2262,127,21,106,2735,2414,321,196,125,414,405,9,9,0,37,37,0,0,0,"Amador County, California",06,005
