geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06085,210878,108969,31273,29124,2149,159,1990,77696,34933,42763,12365,30398,101909,30343,28519,1824,214,1610,71566,33369,38197,12603,25594,"Santa Clara County, California",06,085
0500000US06041,22779,12513,4004,3517,487,8,479,8509,2405,6104,843,5261,10266,3651,3156,495,71,424,6615,1666,4949,1025,3924,"Marin County, California",06,041
0500000US06061,11661,5872,1535,1494,41,0,41,4337,2125,2212,674,1538,5789,1840,1592,248,68,180,3949,2295,1654,800,854,"Placer County, California",06,061
0500000US06093,690,367,44,31,13,0,13,323,135,188,53,135,323,71,71,0,0,0,252,170,82,36,46,"Siskiyou County, California",06,093
0500000US06089,3711,1853,694,656,38,33,5,1159,700,459,183,276,1858,573,572,1,0,1,1285,875,410,235,175,"Shasta County, California",06,089
0500000US06095,39516,22067,6929,6347,582,56,526,15138,6917,8221,3028,5193,17449,5029,4785,244,72,172,12420,5740,6680,2177,4503,"Solano County, California",06,095
0500000US06015,909,375,99,99,0,0,0,276,221,55,31,24,534,196,173,23,0,23,338,179,159,32,127,"Del Norte County, California",06,015
0500000US06011,1169,643,176,153,23,0,23,467,219,248,98,150,526,126,120,6,0,6,400,162,238,99,139,"Colusa County, California",06,011
0500000US06021,2542,1299,353,353,0,0,0,946,285,661,216,445,1243,429,364,65,0,65,814,330,484,137,347,"Glenn County, California",06,021
0500000US06007,9646,5090,1183,1151,32,24,8,3907,2165,1742,657,1085,4556,1177,1063,114,39,75,3379,1941,1438,556,882,"Butte County, California",06,007
0500000US06031,26842,16453,3760,3581,179,0,179,12693,7429,5264,998,4266,10389,3369,3155,214,0,214,7020,4119,2901,858,2043,"Kings County, California",06,031
0500000US06063,368,196,51,51,0,0,0,145,82,63,38,25,172,15,15,0,0,0,157,125,32,5,27,"Plumas County, California",06,063
0500000US06079,11804,6546,1768,1768,0,0,0,4778,2739,2039,859,1180,5258,1594,1573,21,0,21,3664,2093,1571,782,789,"San Luis Obispo County, California",06,079
0500000US06019,158359,82475,26412,24951,1461,64,1397,56063,30686,25377,5940,19437,75884,24610,23350,1260,73,1187,51274,28373,22901,6250,16651,"Fresno County, California",06,019
0500000US06029,88403,46198,14843,14249,594,23,571,31355,17054,14301,4766,9535,42205,13128,12789,339,12,327,29077,16023,13054,4119,8935,"Kern County, California",06,029
0500000US06059,373605,188964,57684,54425,3259,276,2983,131280,48970,82310,21842,60468,184641,55844,52356,3488,286,3202,128797,49821,78976,24225,54751,"Orange County, California",06,059
0500000US06111,49513,24833,6370,6046,324,19,305,18463,9201,9262,4015,5247,24680,6520,6120,400,45,355,18160,9377,8783,4411,4372,"Ventura County, California",06,111
0500000US06009,472,304,88,81,7,0,7,216,184,32,0,32,168,8,8,0,0,0,160,121,39,27,12,"Calaveras County, California",06,009
0500000US06101,4185,1913,393,377,16,10,6,1520,683,837,431,406,2272,808,743,65,61,4,1464,748,716,403,313,"Sutter County, California",06,101
0500000US06081,82231,43158,11776,10933,843,190,653,31382,10057,21325,7327,13998,39073,10726,10016,710,117,593,28347,8950,19397,7990,11407,"San Mateo County, California",06,081
0500000US06109,1636,1183,160,160,0,0,0,1023,845,178,24,154,453,147,144,3,0,3,306,195,111,50,61,"Tuolumne County, California",06,109
0500000US06077,80536,41663,13919,13212,707,49,658,27744,12782,14962,4177,10785,38873,13469,12937,532,96,436,25404,11989,13415,4388,9027,"San Joaquin County, California",06,077
0500000US06005,1366,1016,48,37,11,0,11,968,618,350,165,185,350,98,94,4,0,4,252,145,107,63,44,"Amador County, California",06,005
