geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06071,1108996,555371,185259,179731,5528,714,4814,370112,225501,144611,58217,86394,553625,177912,173254,4658,527,4131,375713,227743,147970,65085,82885,"San Bernardino County, California",06,071
0500000US06085,498253,252230,78978,74334,4644,396,4248,173252,90704,82548,25721,56827,246023,76008,72008,4000,373,3627,170015,92616,77399,28765,48634,"Santa Clara County, California",06,085
0500000US06041,41391,21566,6534,5894,640,0,640,15032,5677,9355,2074,7281,19825,6507,5791,716,131,585,13318,5071,8247,2257,5990,"Marin County, California",06,041
0500000US06061,51131,25456,8410,8116,294,91,203,17046,11623,5423,1739,3684,25675,8374,7961,413,92,321,17301,12271,5030,2164,2866,"Placer County, California",06,061
0500000US06093,5218,2667,903,839,64,0,64,1764,1100,664,134,530,2551,896,857,39,0,39,1655,1162,493,232,261,"Siskiyou County, California",06,093
0500000US06089,17218,8632,3019,2958,61,37,24,5613,4246,1367,621,746,8586,2830,2791,39,16,23,5756,4423,1333,751,582,"Shasta County, California",06,089
0500000US06095,112098,57355,19093,18178,915,106,809,38262,20648,17614,6594,11020,54743,18084,17392,692,171,521,36659,20058,16601,6656,9945,"Solano County, California",06,095
0500000US06015,5281,3439,727,709,18,1,17,2712,2266,446,97,349,1842,714,691,23,0,23,1128,851,277,93,184,"Del Norte County, California",06,015
0500000US06011,12539,6586,2236,2188,48,0,48,4350,1797,2553,823,1730,5953,2104,2029,75,15,60,3849,1473,2376,1065,1311,"Colusa County, California",06,011
0500000US06021,11407,5948,2138,2120,18,15,3,3810,1341,2469,707,1762,5459,1951,1826,125,0,125,3508,1384,2124,626,1498,"Glenn County, California",06,021
0500000US06007,35445,18063,5657,5537,120,50,70,12406,8397,4009,1456,2553,17382,5386,5176,210,82,128,11996,8569,3427,1448,1979,"Butte County, California",06,007
0500000US06031,80715,43919,13728,13101,627,12,615,30191,18184,12007,2746,9261,36796,13532,13112,420,14,406,23264,14402,8862,2901,5961,"Kings County, California",06,031
0500000US06063,1599,913,342,342,0,0,0,571,370,201,119,82,686,124,124,0,0,0,562,451,111,34,77,"Plumas County, California",06,063
0500000US06079,62174,32621,9756,9108,648,0,648,22865,13987,8878,3071,5807,29553,9133,8674,459,29,430,20420,12598,7822,2978,4844,"San Luis Obispo County, California",06,079
0500000US06019,509442,258059,90715,87436,3279,220,3059,167344,99685,67659,17346,50313,251383,87375,83951,3424,230,3194,164008,101145,62863,18775,44088,"Fresno County, California",06,019
0500000US06029,458907,238045,83440,80553,2887,343,2544,154605,84192,70413,18866,51547,220862,81429,78645,2784,222,2562,139433,77203,62230,17584,44646,"Kern County, California",06,029
0500000US06059,1079172,541184,171203,162632,8571,989,7582,369981,172521,197460,58725,138735,537988,165486,156910,8576,1026,7550,372502,177439,195063,67063,128000,"Orange County, California",06,059
0500000US06111,358244,180328,57996,55223,2773,390,2383,122332,60905,61427,21411,40016,177916,56236,53784,2452,265,2187,121680,62745,58935,24396,34539,"Ventura County, California",06,111
0500000US06009,5166,2614,705,698,7,0,7,1909,1516,393,203,190,2552,749,749,0,0,0,1803,1180,623,230,393,"Calaveras County, California",06,009
0500000US06101,28910,14820,5371,5065,306,28,278,9449,4062,5387,1848,3539,14090,5188,4930,258,117,141,8902,4605,4297,1416,2881,"Sutter County, California",06,101
0500000US06081,190045,95504,27755,25969,1786,273,1513,67749,27450,40299,14600,25699,94541,26948,25291,1657,313,1344,67593,27487,40106,17459,22647,"San Mateo County, California",06,081
0500000US06109,6385,3726,795,795,0,0,0,2931,2370,561,307,254,2659,861,858,3,0,3,1798,1483,315,246,69,"Tuolumne County, California",06,109
0500000US06077,295606,150218,53665,51231,2434,186,2248,96553,51842,44711,13351,31360,145388,51398,49662,1736,198,1538,93990,53438,40552,13975,26577,"San Joaquin County, California",06,077
0500000US06005,4943,3050,626,615,11,0,11,2424,1846,578,238,340,1893,556,552,4,0,4,1337,1073,264,154,110,"Amador County, California",06,005
