,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
0,1400000US06001400100,2991,2033,11,46,653,248,"Census Tract 4001, Alameda County, California",06,001,400100
1,1400000US06001400200,1997,1668,11,38,158,122,"Census Tract 4002, Alameda County, California",06,001,400200
2,1400000US06001400300,5123,4241,13,78,539,252,"Census Tract 4003, Alameda County, California",06,001,400300
3,1400000US06001400400,3991,3336,0,79,301,275,"Census Tract 4004, Alameda County, California",06,001,400400
4,1400000US06001400500,3944,3258,0,111,228,347,"Census Tract 4005, Alameda County, California",06,001,400500
5,1400000US06001400600,1635,1373,0,28,153,81,"Census Tract 4006, Alameda County, California",06,001,400600
6,1400000US06001400700,4837,4099,0,38,242,458,"Census Tract 4007, Alameda County, California",06,001,400700
7,1400000US06001400800,3796,2970,0,38,466,322,"Census Tract 4008, Alameda County, California",06,001,400800
8,1400000US06001400900,2394,2003,0,34,182,175,"Census Tract 4009, Alameda County, California",06,001,400900
9,1400000US06001401000,6247,5649,0,44,139,415,"Census Tract 4010, Alameda County, California",06,001,401000
10,1400000US06001401100,4205,3299,152,157,376,221,"Census Tract 4011, Alameda County, California",06,001,401100
11,1400000US06001401200,2601,2194,14,50,222,121,"Census Tract 4012, Alameda County, California",06,001,401200
12,1400000US06001401300,4054,3166,5,68,352,463,"Census Tract 4013, Alameda County, California",06,001,401300
13,1400000US06001401400,4013,3008,0,38,282,685,"Census Tract 4014, Alameda County, California",06,001,401400
14,1400000US06001401500,2638,2125,29,28,178,278,"Census Tract 4015, Alameda County, California",06,001,401500
15,1400000US06001401600,2098,1617,8,21,244,208,"Census Tract 4016, Alameda County, California",06,001,401600
16,1400000US06001401700,2769,2150,0,0,266,353,"Census Tract 4017, Alameda County, California",06,001,401700
17,1400000US06001401800,1928,1596,0,32,108,192,"Census Tract 4018, Alameda County, California",06,001,401800
18,1400000US06001402200,2557,1967,0,8,348,234,"Census Tract 4022, Alameda County, California",06,001,402200
19,1400000US06001402400,2820,2263,0,15,343,199,"Census Tract 4024, Alameda County, California",06,001,402400
20,1400000US06001402500,1770,1483,0,12,174,101,"Census Tract 4025, Alameda County, California",06,001,402500
21,1400000US06001402600,1241,606,0,30,362,243,"Census Tract 4026, Alameda County, California",06,001,402600
22,1400000US06001402700,1826,1507,0,18,126,175,"Census Tract 4027, Alameda County, California",06,001,402700
23,1400000US06001402800,4255,3027,0,57,547,624,"Census Tract 4028, Alameda County, California",06,001,402800
24,1400000US06001402900,1417,804,0,0,362,251,"Census Tract 4029, Alameda County, California",06,001,402900
25,1400000US06001403000,3251,818,10,18,1425,980,"Census Tract 4030, Alameda County, California",06,001,403000
26,1400000US06001403100,1830,1123,4,52,387,264,"Census Tract 4031, Alameda County, California",06,001,403100
27,1400000US06001403300,4743,2162,0,44,1248,1289,"Census Tract 4033, Alameda County, California",06,001,403300
28,1400000US06001403400,4401,3127,28,71,763,412,"Census Tract 4034, Alameda County, California",06,001,403400
29,1400000US06001403501,4698,3320,0,147,804,427,"Census Tract 4035.01, Alameda County, California",06,001,403501
30,1400000US06001403502,2066,1541,11,28,388,98,"Census Tract 4035.02, Alameda County, California",06,001,403502
31,1400000US06001403600,5025,3727,0,53,621,624,"Census Tract 4036, Alameda County, California",06,001,403600
32,1400000US06001403701,2825,2099,17,74,402,233,"Census Tract 4037.01, Alameda County, California",06,001,403701
33,1400000US06001403702,1901,1586,0,8,183,124,"Census Tract 4037.02, Alameda County, California",06,001,403702
34,1400000US06001403800,3299,2732,0,99,298,170,"Census Tract 4038, Alameda County, California",06,001,403800
35,1400000US06001403900,3989,3121,0,0,530,338,"Census Tract 4039, Alameda County, California",06,001,403900
36,1400000US06001404000,3033,2247,0,51,365,370,"Census Tract 4040, Alameda County, California",06,001,404000
37,1400000US06001404101,3033,2516,0,100,287,130,"Census Tract 4041.01, Alameda County, California",06,001,404101
38,1400000US06001404102,2422,1978,0,16,289,139,"Census Tract 4041.02, Alameda County, California",06,001,404102
39,1400000US06001404200,3600,2920,0,36,406,238,"Census Tract 4042, Alameda County, California",06,001,404200
40,1400000US06001404300,3324,2812,0,70,368,74,"Census Tract 4043, Alameda County, California",06,001,404300
41,1400000US06001404400,5425,4427,0,79,578,341,"Census Tract 4044, Alameda County, California",06,001,404400
42,1400000US06001404501,1857,1529,0,20,220,88,"Census Tract 4045.01, Alameda County, California",06,001,404501
43,1400000US06001404502,5556,4637,0,55,686,178,"Census Tract 4045.02, Alameda County, California",06,001,404502
44,1400000US06001404600,4544,3903,0,52,423,166,"Census Tract 4046, Alameda County, California",06,001,404600
45,1400000US06001404700,2084,1771,0,49,144,120,"Census Tract 4047, Alameda County, California",06,001,404700
46,1400000US06001404800,2723,1992,0,91,364,276,"Census Tract 4048, Alameda County, California",06,001,404800
47,1400000US06001404900,3937,3414,22,56,362,83,"Census Tract 4049, Alameda County, California",06,001,404900
48,1400000US06001405000,3328,2902,11,81,223,111,"Census Tract 4050, Alameda County, California",06,001,405000
49,1400000US06001405100,4334,3804,0,36,362,132,"Census Tract 4051, Alameda County, California",06,001,405100
50,1400000US06001405200,5125,3786,0,25,874,440,"Census Tract 4052, Alameda County, California",06,001,405200
51,1400000US06001405301,3019,2410,7,52,342,208,"Census Tract 4053.01, Alameda County, California",06,001,405301
52,1400000US06001405302,2446,1303,0,43,658,442,"Census Tract 4053.02, Alameda County, California",06,001,405302
53,1400000US06001405401,4014,2155,5,43,870,941,"Census Tract 4054.01, Alameda County, California",06,001,405401
54,1400000US06001405402,3250,1704,0,8,511,1027,"Census Tract 4054.02, Alameda County, California",06,001,405402
55,1400000US06001405500,4124,2217,0,115,1167,625,"Census Tract 4055, Alameda County, California",06,001,405500
56,1400000US06001405600,3171,2223,0,126,425,397,"Census Tract 4056, Alameda County, California",06,001,405600
57,1400000US06001405700,3760,2452,0,25,592,691,"Census Tract 4057, Alameda County, California",06,001,405700
58,1400000US06001405800,4472,2248,42,85,1103,994,"Census Tract 4058, Alameda County, California",06,001,405800
59,1400000US06001405901,4583,2417,15,62,965,1124,"Census Tract 4059.01, Alameda County, California",06,001,405901
60,1400000US06001405902,3101,1429,0,51,819,802,"Census Tract 4059.02, Alameda County, California",06,001,405902
61,1400000US06001406000,3184,1565,0,46,864,709,"Census Tract 4060, Alameda County, California",06,001,406000
62,1400000US06001406100,4629,2384,0,69,636,1540,"Census Tract 4061, Alameda County, California",06,001,406100
63,1400000US06001406201,4399,2408,29,117,549,1296,"Census Tract 4062.01, Alameda County, California",06,001,406201
64,1400000US06001406202,4597,2283,10,77,409,1818,"Census Tract 4062.02, Alameda County, California",06,001,406202
65,1400000US06001406300,4128,2400,0,53,948,727,"Census Tract 4063, Alameda County, California",06,001,406300
66,1400000US06001406400,2355,1775,0,45,222,313,"Census Tract 4064, Alameda County, California",06,001,406400
67,1400000US06001406500,6231,3593,17,6,1172,1443,"Census Tract 4065, Alameda County, California",06,001,406500
68,1400000US06001406601,5181,3414,0,154,822,791,"Census Tract 4066.01, Alameda County, California",06,001,406601
69,1400000US06001406602,2815,1683,10,73,609,440,"Census Tract 4066.02, Alameda County, California",06,001,406602
70,1400000US06001406700,4984,3853,0,37,796,298,"Census Tract 4067, Alameda County, California",06,001,406700
71,1400000US06001406800,3613,2588,0,26,741,258,"Census Tract 4068, Alameda County, California",06,001,406800
72,1400000US06001406900,3941,3003,19,74,521,324,"Census Tract 4069, Alameda County, California",06,001,406900
73,1400000US06001407000,6020,3209,0,16,1840,955,"Census Tract 4070, Alameda County, California",06,001,407000
74,1400000US06001407101,3444,1916,0,25,844,659,"Census Tract 4071.01, Alameda County, California",06,001,407101
75,1400000US06001407102,4106,2706,29,98,435,838,"Census Tract 4071.02, Alameda County, California",06,001,407102
76,1400000US06001407200,7064,3034,27,93,924,2986,"Census Tract 4072, Alameda County, California",06,001,407200
77,1400000US06001407300,2485,1347,0,12,420,706,"Census Tract 4073, Alameda County, California",06,001,407300
78,1400000US06001407400,4205,2328,0,59,565,1253,"Census Tract 4074, Alameda County, California",06,001,407400
79,1400000US06001407500,4362,2800,25,18,482,1037,"Census Tract 4075, Alameda County, California",06,001,407500
80,1400000US06001407600,6502,5142,0,49,486,825,"Census Tract 4076, Alameda County, California",06,001,407600
81,1400000US06001407700,4240,3840,0,47,171,182,"Census Tract 4077, Alameda County, California",06,001,407700
82,1400000US06001407800,2742,2218,8,47,220,249,"Census Tract 4078, Alameda County, California",06,001,407800
83,1400000US06001407900,2971,2226,18,43,412,272,"Census Tract 4079, Alameda County, California",06,001,407900
84,1400000US06001408000,2762,2257,3,34,329,139,"Census Tract 4080, Alameda County, California",06,001,408000
85,1400000US06001408100,6346,4969,0,83,914,380,"Census Tract 4081, Alameda County, California",06,001,408100
86,1400000US06001408200,4489,3851,33,10,324,271,"Census Tract 4082, Alameda County, California",06,001,408200
87,1400000US06001408300,5172,4174,0,99,419,480,"Census Tract 4083, Alameda County, California",06,001,408300
88,1400000US06001408400,3310,2463,0,34,178,635,"Census Tract 4084, Alameda County, California",06,001,408400
89,1400000US06001408500,5932,4174,13,127,490,1128,"Census Tract 4085, Alameda County, California",06,001,408500
90,1400000US06001408600,6680,4504,10,13,485,1668,"Census Tract 4086, Alameda County, California",06,001,408600
91,1400000US06001408700,7734,5770,28,26,363,1547,"Census Tract 4087, Alameda County, California",06,001,408700
92,1400000US06001408800,6276,4209,0,77,608,1382,"Census Tract 4088, Alameda County, California",06,001,408800
93,1400000US06001408900,3050,2057,22,5,230,736,"Census Tract 4089, Alameda County, California",06,001,408900
94,1400000US06001409000,3775,2483,13,106,337,836,"Census Tract 4090, Alameda County, California",06,001,409000
95,1400000US06001409100,2233,1533,23,9,229,439,"Census Tract 4091, Alameda County, California",06,001,409100
96,1400000US06001409200,3605,2394,0,9,473,729,"Census Tract 4092, Alameda County, California",06,001,409200
97,1400000US06001409300,5110,3241,19,62,372,1416,"Census Tract 4093, Alameda County, California",06,001,409300
98,1400000US06001409400,5311,3193,0,35,662,1421,"Census Tract 4094, Alameda County, California",06,001,409400
99,1400000US06001409500,4613,3175,39,38,184,1177,"Census Tract 4095, Alameda County, California",06,001,409500
100,1400000US06001409600,4680,2531,0,116,434,1599,"Census Tract 4096, Alameda County, California",06,001,409600
101,1400000US06001409700,5402,3643,0,55,355,1349,"Census Tract 4097, Alameda County, California",06,001,409700
102,1400000US06001409800,3515,2987,0,0,256,272,"Census Tract 4098, Alameda County, California",06,001,409800
103,1400000US06001409900,3464,2994,0,23,286,161,"Census Tract 4099, Alameda County, California",06,001,409900
104,1400000US06001410000,3549,3177,0,34,242,96,"Census Tract 4100, Alameda County, California",06,001,410000
105,1400000US06001410100,2776,2507,7,11,126,125,"Census Tract 4101, Alameda County, California",06,001,410100
106,1400000US06001410200,3370,2660,0,45,125,540,"Census Tract 4102, Alameda County, California",06,001,410200
107,1400000US06001410300,3598,2125,9,9,323,1132,"Census Tract 4103, Alameda County, California",06,001,410300
108,1400000US06001410400,4146,2905,0,26,308,907,"Census Tract 4104, Alameda County, California",06,001,410400
109,1400000US06001410500,2209,1801,0,6,246,156,"Census Tract 4105, Alameda County, California",06,001,410500
110,1400000US06001420100,2434,1798,0,59,383,194,"Census Tract 4201, Alameda County, California",06,001,420100
111,1400000US06001420200,3196,2368,0,11,329,488,"Census Tract 4202, Alameda County, California",06,001,420200
112,1400000US06001420300,4948,2784,0,25,768,1371,"Census Tract 4203, Alameda County, California",06,001,420300
113,1400000US06001420400,3247,1549,19,51,201,1427,"Census Tract 4204, Alameda County, California",06,001,420400
114,1400000US06001420500,2513,1692,11,60,431,319,"Census Tract 4205, Alameda County, California",06,001,420500
115,1400000US06001420600,3344,2895,16,49,198,186,"Census Tract 4206, Alameda County, California",06,001,420600
116,1400000US06001421100,2085,1614,0,44,289,138,"Census Tract 4211, Alameda County, California",06,001,421100
117,1400000US06001421200,3650,2860,14,83,476,217,"Census Tract 4212, Alameda County, California",06,001,421200
118,1400000US06001421300,3924,3196,0,56,477,195,"Census Tract 4213, Alameda County, California",06,001,421300
119,1400000US06001421400,1709,1351,0,80,157,121,"Census Tract 4214, Alameda County, California",06,001,421400
120,1400000US06001421500,3804,3113,0,63,444,184,"Census Tract 4215, Alameda County, California",06,001,421500
121,1400000US06001421600,3545,2847,13,11,389,285,"Census Tract 4216, Alameda County, California",06,001,421600
122,1400000US06001421700,3572,2750,0,23,360,439,"Census Tract 4217, Alameda County, California",06,001,421700
123,1400000US06001421800,2241,1798,8,34,255,146,"Census Tract 4218, Alameda County, California",06,001,421800
124,1400000US06001421900,3962,3252,0,59,326,325,"Census Tract 4219, Alameda County, California",06,001,421900
125,1400000US06001422000,1973,1690,8,24,169,82,"Census Tract 4220, Alameda County, California",06,001,422000
126,1400000US06001422100,2617,2173,0,36,217,191,"Census Tract 4221, Alameda County, California",06,001,422100
127,1400000US06001422200,3553,2808,31,56,330,328,"Census Tract 4222, Alameda County, California",06,001,422200
128,1400000US06001422300,3890,2990,9,72,292,527,"Census Tract 4223, Alameda County, California",06,001,422300
129,1400000US06001422400,4187,2611,65,30,386,1095,"Census Tract 4224, Alameda County, California",06,001,422400
130,1400000US06001422500,4136,2884,6,116,269,861,"Census Tract 4225, Alameda County, California",06,001,422500
131,1400000US06001422600,1421,702,0,14,55,650,"Census Tract 4226, Alameda County, California",06,001,422600
132,1400000US06001422700,5207,3886,9,127,357,828,"Census Tract 4227, Alameda County, California",06,001,422700
133,1400000US06001422800,9074,6378,8,149,820,1719,"Census Tract 4228, Alameda County, California",06,001,422800
134,1400000US06001422900,5167,3505,31,5,476,1150,"Census Tract 4229, Alameda County, California",06,001,422900
135,1400000US06001423000,4679,3681,0,69,460,469,"Census Tract 4230, Alameda County, California",06,001,423000
136,1400000US06001423100,4319,3297,0,17,293,712,"Census Tract 4231, Alameda County, California",06,001,423100
137,1400000US06001423200,3069,2337,71,36,244,381,"Census Tract 4232, Alameda County, California",06,001,423200
138,1400000US06001423300,4060,3341,0,147,301,271,"Census Tract 4233, Alameda County, California",06,001,423300
139,1400000US06001423400,5307,4514,0,76,301,416,"Census Tract 4234, Alameda County, California",06,001,423400
140,1400000US06001423500,3284,2765,8,38,207,266,"Census Tract 4235, Alameda County, California",06,001,423500
141,1400000US06001423601,2839,2444,0,48,167,180,"Census Tract 4236.01, Alameda County, California",06,001,423601
142,1400000US06001423602,5243,4377,0,121,297,448,"Census Tract 4236.02, Alameda County, California",06,001,423602
143,1400000US06001423700,4379,3595,0,56,352,376,"Census Tract 4237, Alameda County, California",06,001,423700
144,1400000US06001423800,2910,2452,10,48,219,181,"Census Tract 4238, Alameda County, California",06,001,423800
145,1400000US06001423901,1986,1730,7,18,94,137,"Census Tract 4239.01, Alameda County, California",06,001,423901
146,1400000US06001423902,1542,1249,0,19,116,158,"Census Tract 4239.02, Alameda County, California",06,001,423902
147,1400000US06001424001,4320,3482,0,22,372,444,"Census Tract 4240.01, Alameda County, California",06,001,424001
148,1400000US06001424002,2525,2056,0,57,207,205,"Census Tract 4240.02, Alameda County, California",06,001,424002
149,1400000US06001425101,1738,963,0,18,419,338,"Census Tract 4251.01, Alameda County, California",06,001,425101
150,1400000US06001425102,3494,2007,0,54,695,738,"Census Tract 4251.02, Alameda County, California",06,001,425102
151,1400000US06001425103,2871,2239,0,56,285,291,"Census Tract 4251.03, Alameda County, California",06,001,425103
152,1400000US06001425104,3421,2603,5,35,450,328,"Census Tract 4251.04, Alameda County, California",06,001,425104
153,1400000US06001426100,6339,5557,0,96,515,171,"Census Tract 4261, Alameda County, California",06,001,426100
154,1400000US06001426200,4957,4225,0,49,544,139,"Census Tract 4262, Alameda County, California",06,001,426200
155,1400000US06001427100,3786,3092,40,30,429,195,"Census Tract 4271, Alameda County, California",06,001,427100
156,1400000US06001427200,4218,2877,79,101,790,371,"Census Tract 4272, Alameda County, California",06,001,427200
157,1400000US06001427300,5169,3188,40,133,1143,665,"Census Tract 4273, Alameda County, California",06,001,427300
158,1400000US06001427600,5680,3354,35,80,1067,1144,"Census Tract 4276, Alameda County, California",06,001,427600
159,1400000US06001427700,5075,3777,34,114,791,359,"Census Tract 4277, Alameda County, California",06,001,427700
160,1400000US06001427800,5241,3469,0,240,1104,428,"Census Tract 4278, Alameda County, California",06,001,427800
161,1400000US06001427900,4951,3687,16,41,732,475,"Census Tract 4279, Alameda County, California",06,001,427900
162,1400000US06001428000,2751,1873,3,66,368,441,"Census Tract 4280, Alameda County, California",06,001,428000
163,1400000US06001428100,4866,3834,19,51,508,454,"Census Tract 4281, Alameda County, California",06,001,428100
164,1400000US06001428200,6508,4775,0,338,1326,69,"Census Tract 4282, Alameda County, California",06,001,428200
165,1400000US06001428301,7012,4828,0,77,1621,486,"Census Tract 4283.01, Alameda County, California",06,001,428301
166,1400000US06001428302,7472,5862,19,106,1185,300,"Census Tract 4283.02, Alameda County, California",06,001,428302
167,1400000US06001428400,4516,3166,16,107,755,472,"Census Tract 4284, Alameda County, California",06,001,428400
168,1400000US06001428500,3147,1910,14,68,699,456,"Census Tract 4285, Alameda County, California",06,001,428500
169,1400000US06001428600,3412,2235,0,34,1011,132,"Census Tract 4286, Alameda County, California",06,001,428600
170,1400000US06001428700,4442,3142,94,25,815,366,"Census Tract 4287, Alameda County, California",06,001,428700
171,1400000US06001430101,6899,4326,62,124,1847,540,"Census Tract 4301.01, Alameda County, California",06,001,430101
172,1400000US06001430102,2427,1891,8,9,342,177,"Census Tract 4301.02, Alameda County, California",06,001,430102
173,1400000US06001430200,6690,5280,20,55,924,411,"Census Tract 4302, Alameda County, California",06,001,430200
174,1400000US06001430300,3705,2846,0,37,583,239,"Census Tract 4303, Alameda County, California",06,001,430300
175,1400000US06001430400,2150,1713,4,30,323,80,"Census Tract 4304, Alameda County, California",06,001,430400
176,1400000US06001430500,6076,4338,18,84,876,760,"Census Tract 4305, Alameda County, California",06,001,430500
177,1400000US06001430600,6609,5003,0,50,1117,439,"Census Tract 4306, Alameda County, California",06,001,430600
178,1400000US06001430700,4138,3384,44,47,347,316,"Census Tract 4307, Alameda County, California",06,001,430700
179,1400000US06001430800,5457,4639,41,0,455,322,"Census Tract 4308, Alameda County, California",06,001,430800
180,1400000US06001430900,5245,3764,24,55,537,865,"Census Tract 4309, Alameda County, California",06,001,430900
181,1400000US06001431000,2924,2086,0,8,415,415,"Census Tract 4310, Alameda County, California",06,001,431000
182,1400000US06001431100,3575,2752,62,59,233,469,"Census Tract 4311, Alameda County, California",06,001,431100
183,1400000US06001431200,5818,4621,0,241,775,181,"Census Tract 4312, Alameda County, California",06,001,431200
184,1400000US06001432100,3792,3002,0,73,501,216,"Census Tract 4321, Alameda County, California",06,001,432100
185,1400000US06001432200,4487,3450,21,23,488,505,"Census Tract 4322, Alameda County, California",06,001,432200
186,1400000US06001432300,4727,3089,0,27,977,634,"Census Tract 4323, Alameda County, California",06,001,432300
187,1400000US06001432400,6461,3687,19,131,1444,1180,"Census Tract 4324, Alameda County, California",06,001,432400
188,1400000US06001432501,4737,2510,28,73,1197,929,"Census Tract 4325.01, Alameda County, California",06,001,432501
189,1400000US06001432502,5109,2748,31,42,925,1363,"Census Tract 4325.02, Alameda County, California",06,001,432502
190,1400000US06001432600,7391,5217,52,63,1148,911,"Census Tract 4326, Alameda County, California",06,001,432600
191,1400000US06001432700,2843,1994,12,76,536,225,"Census Tract 4327, Alameda County, California",06,001,432700
192,1400000US06001432800,3889,2854,24,16,746,249,"Census Tract 4328, Alameda County, California",06,001,432800
193,1400000US06001433000,3838,2418,0,9,819,592,"Census Tract 4330, Alameda County, California",06,001,433000
194,1400000US06001433102,4161,2231,0,39,941,950,"Census Tract 4331.02, Alameda County, California",06,001,433102
195,1400000US06001433103,3805,2538,7,16,566,678,"Census Tract 4331.03, Alameda County, California",06,001,433103
196,1400000US06001433104,3839,2669,34,34,617,485,"Census Tract 4331.04, Alameda County, California",06,001,433104
197,1400000US06001433200,7392,4324,4,16,1758,1290,"Census Tract 4332, Alameda County, California",06,001,433200
198,1400000US06001433300,7841,4354,5,113,2270,1099,"Census Tract 4333, Alameda County, California",06,001,433300
199,1400000US06001433400,6546,3214,0,111,1953,1268,"Census Tract 4334, Alameda County, California",06,001,433400
200,1400000US06001433500,4664,2905,0,42,1192,525,"Census Tract 4335, Alameda County, California",06,001,433500
201,1400000US06001433600,5757,3318,8,48,1611,772,"Census Tract 4336, Alameda County, California",06,001,433600
202,1400000US06001433700,3669,2119,0,26,477,1047,"Census Tract 4337, Alameda County, California",06,001,433700
203,1400000US06001433800,8282,4834,7,141,1875,1425,"Census Tract 4338, Alameda County, California",06,001,433800
204,1400000US06001433900,7478,4596,0,23,836,2023,"Census Tract 4339, Alameda County, California",06,001,433900
205,1400000US06001434000,5357,3403,0,38,715,1201,"Census Tract 4340, Alameda County, California",06,001,434000
206,1400000US06001435102,5979,4138,44,95,986,716,"Census Tract 4351.02, Alameda County, California",06,001,435102
207,1400000US06001435103,6922,4638,8,140,1778,358,"Census Tract 4351.03, Alameda County, California",06,001,435103
208,1400000US06001435104,5882,3405,116,78,939,1344,"Census Tract 4351.04, Alameda County, California",06,001,435104
209,1400000US06001435200,4586,3279,0,116,865,326,"Census Tract 4352, Alameda County, California",06,001,435200
210,1400000US06001435300,4628,3343,4,24,385,872,"Census Tract 4353, Alameda County, California",06,001,435300
211,1400000US06001435400,4360,3051,25,41,452,791,"Census Tract 4354, Alameda County, California",06,001,435400
212,1400000US06001435500,4059,2628,9,61,427,934,"Census Tract 4355, Alameda County, California",06,001,435500
213,1400000US06001435601,5701,3346,13,105,508,1729,"Census Tract 4356.01, Alameda County, California",06,001,435601
214,1400000US06001435602,5493,3705,0,20,648,1120,"Census Tract 4356.02, Alameda County, California",06,001,435602
215,1400000US06001435700,4966,3318,0,26,800,822,"Census Tract 4357, Alameda County, California",06,001,435700
216,1400000US06001435800,5614,3560,0,49,1066,939,"Census Tract 4358, Alameda County, California",06,001,435800
217,1400000US06001435900,5446,3641,22,116,1235,432,"Census Tract 4359, Alameda County, California",06,001,435900
218,1400000US06001436000,4486,3092,39,7,917,431,"Census Tract 4360, Alameda County, California",06,001,436000
219,1400000US06001436100,6134,3822,0,126,1231,955,"Census Tract 4361, Alameda County, California",06,001,436100
220,1400000US06001436200,4149,2550,24,33,520,1022,"Census Tract 4362, Alameda County, California",06,001,436200
221,1400000US06001436300,8391,5237,145,114,1347,1548,"Census Tract 4363, Alameda County, California",06,001,436300
222,1400000US06001436401,7758,5969,103,0,969,717,"Census Tract 4364.01, Alameda County, California",06,001,436401
223,1400000US06001436402,2678,2000,6,29,508,135,"Census Tract 4364.02, Alameda County, California",06,001,436402
224,1400000US06001436500,4998,2893,0,35,794,1276,"Census Tract 4365, Alameda County, California",06,001,436500
225,1400000US06001436601,6915,4043,47,30,678,2117,"Census Tract 4366.01, Alameda County, California",06,001,436601
226,1400000US06001436602,5084,2717,15,43,777,1532,"Census Tract 4366.02, Alameda County, California",06,001,436602
227,1400000US06001436700,3280,1897,26,21,828,508,"Census Tract 4367, Alameda County, California",06,001,436700
228,1400000US06001436800,4179,2497,6,20,768,888,"Census Tract 4368, Alameda County, California",06,001,436800
229,1400000US06001436900,6838,4064,13,68,801,1892,"Census Tract 4369, Alameda County, California",06,001,436900
230,1400000US06001437000,3508,2172,15,118,734,469,"Census Tract 4370, Alameda County, California",06,001,437000
231,1400000US06001437101,7186,3979,25,142,2220,820,"Census Tract 4371.01, Alameda County, California",06,001,437101
232,1400000US06001437102,4586,2280,0,67,1300,939,"Census Tract 4371.02, Alameda County, California",06,001,437102
233,1400000US06001437200,7864,4828,31,117,1947,941,"Census Tract 4372, Alameda County, California",06,001,437200
234,1400000US06001437300,3229,1883,42,43,665,596,"Census Tract 4373, Alameda County, California",06,001,437300
235,1400000US06001437400,3334,2111,39,31,578,575,"Census Tract 4374, Alameda County, California",06,001,437400
236,1400000US06001437500,4572,2823,27,7,513,1202,"Census Tract 4375, Alameda County, California",06,001,437500
237,1400000US06001437600,3829,2018,45,39,808,919,"Census Tract 4376, Alameda County, California",06,001,437600
238,1400000US06001437701,3745,2249,18,34,424,1020,"Census Tract 4377.01, Alameda County, California",06,001,437701
239,1400000US06001437702,4804,2332,20,20,490,1942,"Census Tract 4377.02, Alameda County, California",06,001,437702
240,1400000US06001437800,4704,2828,29,23,940,884,"Census Tract 4378, Alameda County, California",06,001,437800
241,1400000US06001437900,2454,1379,31,30,473,541,"Census Tract 4379, Alameda County, California",06,001,437900
242,1400000US06001438000,3877,2568,0,0,648,661,"Census Tract 4380, Alameda County, California",06,001,438000
243,1400000US06001438100,7491,4632,48,129,1644,1038,"Census Tract 4381, Alameda County, California",06,001,438100
244,1400000US06001438201,5001,2596,22,72,1002,1309,"Census Tract 4382.01, Alameda County, California",06,001,438201
245,1400000US06001438203,4295,2158,0,19,1392,726,"Census Tract 4382.03, Alameda County, California",06,001,438203
246,1400000US06001438204,5467,2960,63,117,1354,973,"Census Tract 4382.04, Alameda County, California",06,001,438204
247,1400000US06001438300,3997,1749,140,47,1020,1041,"Census Tract 4383, Alameda County, California",06,001,438300
248,1400000US06001438400,2416,1317,44,44,598,413,"Census Tract 4384, Alameda County, California",06,001,438400
249,1400000US06001440100,2447,1703,0,15,533,196,"Census Tract 4401, Alameda County, California",06,001,440100
250,1400000US06001440200,5970,3912,15,10,1004,1029,"Census Tract 4402, Alameda County, California",06,001,440200
251,1400000US06001440301,7369,4283,49,41,1894,1102,"Census Tract 4403.01, Alameda County, California",06,001,440301
252,1400000US06001440304,5140,2681,31,92,1556,780,"Census Tract 4403.04, Alameda County, California",06,001,440304
253,1400000US06001440305,4105,2374,26,39,1332,334,"Census Tract 4403.05, Alameda County, California",06,001,440305
254,1400000US06001440306,4222,1842,16,66,1397,901,"Census Tract 4403.06, Alameda County, California",06,001,440306
255,1400000US06001440307,4445,2453,33,34,1148,777,"Census Tract 4403.07, Alameda County, California",06,001,440307
256,1400000US06001440308,6217,3035,0,47,1539,1596,"Census Tract 4403.08, Alameda County, California",06,001,440308
257,1400000US06001440331,3373,1840,4,53,981,495,"Census Tract 4403.31, Alameda County, California",06,001,440331
258,1400000US06001440332,3612,1560,24,58,1521,449,"Census Tract 4403.32, Alameda County, California",06,001,440332
259,1400000US06001440333,3073,1513,0,35,1215,310,"Census Tract 4403.33, Alameda County, California",06,001,440333
260,1400000US06001440334,4536,2186,0,50,1612,688,"Census Tract 4403.34, Alameda County, California",06,001,440334
261,1400000US06001440335,6979,3085,12,66,2345,1471,"Census Tract 4403.35, Alameda County, California",06,001,440335
262,1400000US06001440336,4949,2902,0,29,1165,853,"Census Tract 4403.36, Alameda County, California",06,001,440336
263,1400000US06001441100,4221,3128,10,44,744,295,"Census Tract 4411, Alameda County, California",06,001,441100
264,1400000US06001441200,6977,5134,0,0,1160,683,"Census Tract 4412, Alameda County, California",06,001,441200
265,1400000US06001441301,3184,1655,25,36,708,760,"Census Tract 4413.01, Alameda County, California",06,001,441301
266,1400000US06001441302,5881,3297,0,48,1640,896,"Census Tract 4413.02, Alameda County, California",06,001,441302
267,1400000US06001441401,8092,3933,33,178,2139,1809,"Census Tract 4414.01, Alameda County, California",06,001,441401
268,1400000US06001441402,5438,2743,23,133,1776,763,"Census Tract 4414.02, Alameda County, California",06,001,441402
269,1400000US06001441501,6479,3404,48,53,2526,448,"Census Tract 4415.01, Alameda County, California",06,001,441501
270,1400000US06001441503,6759,2893,0,58,1986,1822,"Census Tract 4415.03, Alameda County, California",06,001,441503
