,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
7273,1400000US06085512200,4239,3603,0,47,461,128,"Census Tract 5122, Santa Clara County, California",06,085,512200
7274,1400000US06085512305,4568,3798,0,29,588,153,"Census Tract 5123.05, Santa Clara County, California",06,085,512305
7275,1400000US06085512307,6699,6031,0,22,417,229,"Census Tract 5123.07, Santa Clara County, California",06,085,512307
7276,1400000US06085512308,8447,6853,0,93,1200,301,"Census Tract 5123.08, Santa Clara County, California",06,085,512308
7277,1400000US06085512309,5169,4409,0,18,485,257,"Census Tract 5123.09, Santa Clara County, California",06,085,512309
7278,1400000US06085512310,4397,3193,11,39,708,446,"Census Tract 5123.10, Santa Clara County, California",06,085,512310
7279,1400000US06085512311,3667,2829,13,6,494,325,"Census Tract 5123.11, Santa Clara County, California",06,085,512311
7280,1400000US06085512312,3331,2677,5,93,273,283,"Census Tract 5123.12, Santa Clara County, California",06,085,512312
7281,1400000US06085512313,3954,3018,0,6,357,573,"Census Tract 5123.13, Santa Clara County, California",06,085,512313
7282,1400000US06085512314,6630,5230,0,38,669,693,"Census Tract 5123.14, Santa Clara County, California",06,085,512314
7283,1400000US06085512401,5142,4011,0,59,342,730,"Census Tract 5124.01, Santa Clara County, California",06,085,512401
7284,1400000US06085512402,5268,3867,16,52,775,558,"Census Tract 5124.02, Santa Clara County, California",06,085,512402
7285,1400000US06085512503,9175,7842,0,107,826,400,"Census Tract 5125.03, Santa Clara County, California",06,085,512503
7286,1400000US06085512505,8159,6147,40,93,861,1018,"Census Tract 5125.05, Santa Clara County, California",06,085,512505
7287,1400000US06085512506,7660,5459,24,10,779,1388,"Census Tract 5125.06, Santa Clara County, California",06,085,512506
7288,1400000US06085512508,8423,6004,15,11,488,1905,"Census Tract 5125.08, Santa Clara County, California",06,085,512508
7289,1400000US06085512509,4378,3151,21,32,430,744,"Census Tract 5125.09, Santa Clara County, California",06,085,512509
7290,1400000US06085512510,6780,5405,20,85,491,779,"Census Tract 5125.10, Santa Clara County, California",06,085,512510
7291,1400000US06085512602,2568,1821,0,24,323,400,"Census Tract 5126.02, Santa Clara County, California",06,085,512602
7292,1400000US06085512603,4602,2913,0,49,474,1166,"Census Tract 5126.03, Santa Clara County, California",06,085,512603
7293,1400000US06085512604,4957,3191,24,47,540,1155,"Census Tract 5126.04, Santa Clara County, California",06,085,512604
7294,1400000US06085513000,8691,5544,47,150,496,2454,"Census Tract 5130, Santa Clara County, California",06,085,513000
7295,1400000US06085513500,1002,837,0,5,103,57,"Census Tract 5135, Santa Clara County, California",06,085,513500
7296,1400000US06087100100,2194,1866,7,48,72,201,"Census Tract 1001, Santa Cruz County, California",06,087,100100
7297,1400000US06087100200,6187,5251,41,69,243,583,"Census Tract 1002, Santa Cruz County, California",06,087,100200
7298,1400000US06087100300,3329,2871,0,58,220,180,"Census Tract 1003, Santa Cruz County, California",06,087,100300
7299,1400000US06087100400,9993,7962,7,214,509,1301,"Census Tract 1004, Santa Cruz County, California",06,087,100400
7300,1400000US06087100500,6798,5798,0,145,501,354,"Census Tract 1005, Santa Cruz County, California",06,087,100500
7301,1400000US06087100600,3654,3094,0,27,241,292,"Census Tract 1006, Santa Cruz County, California",06,087,100600
7302,1400000US06087100700,1983,1805,0,13,88,77,"Census Tract 1007, Santa Cruz County, California",06,087,100700
7303,1400000US06087100800,7126,5737,19,103,362,905,"Census Tract 1008, Santa Cruz County, California",06,087,100800
7304,1400000US06087100900,4410,3967,0,71,254,118,"Census Tract 1009, Santa Cruz County, California",06,087,100900
7305,1400000US06087101000,8315,6430,0,50,398,1437,"Census Tract 1010, Santa Cruz County, California",06,087,101000
7306,1400000US06087101100,5868,5182,0,215,320,151,"Census Tract 1011, Santa Cruz County, California",06,087,101100
7307,1400000US06087101200,3109,2664,9,16,264,156,"Census Tract 1012, Santa Cruz County, California",06,087,101200
7308,1400000US06087110100,7897,5258,0,18,954,1667,"Census Tract 1101, Santa Cruz County, California",06,087,110100
7309,1400000US06087110200,8391,5337,0,60,964,2030,"Census Tract 1102, Santa Cruz County, California",06,087,110200
7310,1400000US06087110300,7306,3605,0,22,435,3244,"Census Tract 1103, Santa Cruz County, California",06,087,110300
7311,1400000US06087110400,7610,4723,0,15,912,1960,"Census Tract 1104, Santa Cruz County, California",06,087,110400
7312,1400000US06087110501,8091,5385,10,136,822,1738,"Census Tract 1105.01, Santa Cruz County, California",06,087,110501
7313,1400000US06087110502,6124,3740,0,62,538,1784,"Census Tract 1105.02, Santa Cruz County, California",06,087,110502
7314,1400000US06087110600,7480,4552,0,89,996,1843,"Census Tract 1106, Santa Cruz County, California",06,087,110600
7315,1400000US06087110700,3287,2404,0,25,293,565,"Census Tract 1107, Santa Cruz County, California",06,087,110700
7316,1400000US06087120200,4407,3853,0,122,171,261,"Census Tract 1202, Santa Cruz County, California",06,087,120200
7317,1400000US06087120301,5289,4851,15,67,220,136,"Census Tract 1203.01, Santa Cruz County, California",06,087,120301
7318,1400000US06087120302,3026,2775,0,30,169,52,"Census Tract 1203.02, Santa Cruz County, California",06,087,120302
7319,1400000US06087120400,5160,4711,0,127,167,155,"Census Tract 1204, Santa Cruz County, California",06,087,120400
7320,1400000US06087120500,5558,4954,12,70,261,261,"Census Tract 1205, Santa Cruz County, California",06,087,120500
7321,1400000US06087120600,4901,4390,16,70,186,239,"Census Tract 1206, Santa Cruz County, California",06,087,120600
7322,1400000US06087120700,3998,3616,0,31,90,261,"Census Tract 1207, Santa Cruz County, California",06,087,120700
7323,1400000US06087120800,5574,4921,0,85,367,201,"Census Tract 1208, Santa Cruz County, California",06,087,120800
7324,1400000US06087120900,8796,7543,30,102,747,374,"Census Tract 1209, Santa Cruz County, California",06,087,120900
7325,1400000US06087121000,3546,3007,0,34,209,296,"Census Tract 1210, Santa Cruz County, California",06,087,121000
7326,1400000US06087121100,3475,2868,7,49,276,275,"Census Tract 1211, Santa Cruz County, California",06,087,121100
7327,1400000US06087121200,6656,6190,0,117,261,88,"Census Tract 1212, Santa Cruz County, California",06,087,121200
7328,1400000US06087121300,4158,3435,0,51,251,421,"Census Tract 1213, Santa Cruz County, California",06,087,121300
7329,1400000US06087121401,2881,2344,6,80,161,290,"Census Tract 1214.01, Santa Cruz County, California",06,087,121401
7330,1400000US06087121402,4375,3484,0,21,356,514,"Census Tract 1214.02, Santa Cruz County, California",06,087,121402
7331,1400000US06087121403,3493,2991,0,59,180,263,"Census Tract 1214.03, Santa Cruz County, California",06,087,121403
7332,1400000US06087121500,5570,4639,7,58,206,660,"Census Tract 1215, Santa Cruz County, California",06,087,121500
7333,1400000US06087121600,6831,5735,47,118,441,490,"Census Tract 1216, Santa Cruz County, California",06,087,121600
7334,1400000US06087121700,7595,6342,0,63,423,767,"Census Tract 1217, Santa Cruz County, California",06,087,121700
7335,1400000US06087121800,4419,3640,0,97,260,422,"Census Tract 1218, Santa Cruz County, California",06,087,121800
7336,1400000US06087122001,5390,4772,11,105,239,263,"Census Tract 1220.01, Santa Cruz County, California",06,087,122001
7337,1400000US06087122002,3368,3140,0,8,191,29,"Census Tract 1220.02, Santa Cruz County, California",06,087,122002
7338,1400000US06087122003,7063,6437,0,102,372,152,"Census Tract 1220.03, Santa Cruz County, California",06,087,122003
7339,1400000US06087122100,3231,2955,0,45,151,80,"Census Tract 1221, Santa Cruz County, California",06,087,122100
7340,1400000US06087122201,6821,5826,0,124,610,261,"Census Tract 1222.01, Santa Cruz County, California",06,087,122201
7341,1400000US06087122202,2346,2102,0,23,158,63,"Census Tract 1222.02, Santa Cruz County, California",06,087,122202
7342,1400000US06087122203,3763,3432,11,30,190,100,"Census Tract 1222.03, Santa Cruz County, California",06,087,122203
7343,1400000US06087122300,3943,3209,0,54,219,461,"Census Tract 1223, Santa Cruz County, California",06,087,122300
7344,1400000US06087122400,7519,6809,0,41,190,479,"Census Tract 1224, Santa Cruz County, California",06,087,122400
7345,1400000US06087122500,6253,3961,5,159,1005,1123,"Census Tract 1225, Santa Cruz County, California",06,087,122500
7346,1400000US06087123100,2880,2129,0,83,195,473,"Census Tract 1231, Santa Cruz County, California",06,087,123100
7347,1400000US06087123300,1826,1285,0,30,220,291,"Census Tract 1233, Santa Cruz County, California",06,087,123300
7348,1400000US06087990100,0,0,0,0,0,0,"Census Tract 9901, Santa Cruz County, California",06,087,990100
7349,1400000US06089010100,1494,1394,0,16,0,84,"Census Tract 101, Shasta County, California",06,089,010100
7350,1400000US06089010200,2312,2045,0,53,81,133,"Census Tract 102, Shasta County, California",06,089,010200
7351,1400000US06089010300,4168,3944,0,13,142,69,"Census Tract 103, Shasta County, California",06,089,010300
7352,1400000US06089010400,4074,3893,1,24,103,53,"Census Tract 104, Shasta County, California",06,089,010400
7353,1400000US06089010500,5551,5287,30,17,88,129,"Census Tract 105, Shasta County, California",06,089,010500
7354,1400000US06089010601,2483,2335,4,16,93,35,"Census Tract 106.01, Shasta County, California",06,089,010601
7355,1400000US06089010602,5532,5202,0,51,154,125,"Census Tract 106.02, Shasta County, California",06,089,010602
7356,1400000US06089010603,1528,1481,0,0,22,25,"Census Tract 106.03, Shasta County, California",06,089,010603
7357,1400000US06089010702,3654,3557,0,9,42,46,"Census Tract 107.02, Shasta County, California",06,089,010702
7358,1400000US06089010703,3289,2869,0,52,117,251,"Census Tract 107.03, Shasta County, California",06,089,010703
